,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,21.0,41.0,10.0,
1,23.0,31.0,10.0,
2,29.0,40.0,15.0,
3,20.0,27.0,10.0,
4,15.0,15.0,10.0,
5,22.0,35.0,12.0,
6,22.0,30.0,18.0,
7,18.0,42.0,17.0,
8,21.0,21.0,14.0,
9,18.0,25.0,10.0,
10,27.0,32.0,17.0,
11,18.0,23.0,18.0,
12,24.0,28.0,10.0,
13,20.0,27.0,11.0,
14,18.0,26.0,14.0,
15,28.0,37.0,17.0,
16,19.0,24.0,18.0,
17,28.0,33.0,13.0,
18,15.0,11.0,9.0,
19,26.0,30.0,13.0,
20,16.0,33.0,16.0,
21,15.0,20.0,9.0,
22,15.0,16.0,14.0,
23,22.0,42.0,13.0,
24,16.0,16.0,10.0,
25,22.0,31.0,16.0,
26,21.0,31.0,14.0,
27,28.0,24.0,15.0,
28,21.0,27.0,19.0,
29,25.0,35.0,15.0,
30,14.0,25.0,9.0,
31,16.0,30.0,13.0,
32,30.0,39.0,10.0,
33,32.0,41.0,14.0,
34,29.0,32.0,15.0,
35,34.0,34.0,17.0,
36,20.0,23.0,14.0,
37,21.0,29.0,23.0,
38,14.0,30.0,10.0,
39,26.0,26.0,10.0,
40,33.0,33.0,21.0,
41,17.0,26.0,16.0,
42,19.0,28.0,8.0,
43,26.0,31.0,16.0,
44,29.0,25.0,10.0,
45,20.0,27.0,14.0,
46,22.0,34.0,15.0,
47,22.0,34.0,10.0,
48,46.0,46.0,18.0,
49,23.0,41.0,10.0,
50,19.0,25.0,13.0,
51,25.0,28.0,10.0,
52,34.0,44.0,18.0,
53,28.0,35.0,28.0,
54,18.0,28.0,10.0,
55,18.0,30.0,10.0,
56,29.0,36.0,17.0,
57,32.0,40.0,18.0,
58,27.0,27.0,16.0,
59,32.0,32.0,11.0,
60,29.0,34.0,9.0,
61,27.0,27.0,14.0,
62,14.0,22.0,13.0,
63,26.0,36.0,17.0,
64,24.0,32.0,13.0,
65,21.0,21.0,12.0,
66,37.0,47.0,12.0,
67,28.0,35.0,15.0,
68,33.0,36.0,15.0,
69,28.0,28.0,14.0,
70,24.0,31.0,14.0,
71,23.0,45.0,13.0,
72,31.0,31.0,14.0,
73,26.0,31.0,15.0,
74,30.0,30.0,10.0,
75,37.0,37.0,10.0,
76,26.0,39.0,17.0,
77,24.0,41.0,10.0,
78,45.0,45.0,27.0,
79,19.0,18.0,14.0,
80,28.0,32.0,16.0,
81,24.0,35.0,11.0,
82,29.0,29.0,18.0,
83,22.0,29.0,18.0,
84,26.0,31.0,16.0,
85,19.0,46.0,15.0,
86,33.0,39.0,19.0,
87,15.0,29.0,15.0,
88,29.0,45.0,14.0,
89,17.0,35.0,22.0,
90,22.0,39.0,22.0,
91,21.0,31.0,20.0,
92,21.0,31.0,17.0,
93,16.0,25.0,18.0,
94,17.0,32.0,20.0,
95,22.0,31.0,10.0,
96,26.0,36.0,10.0,
97,29.0,32.0,10.0,
98,29.0,34.0,12.0,
99,28.0,28.0,10.0,
