,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,49.0,62.0,50.0,
1,83.0,92.0,75.0,
2,69.0,76.0,64.0,
3,60.0,71.0,57.0,
4,59.0,59.0,62.0,
5,67.0,78.0,65.0,
6,58.0,65.0,57.0,
7,42.0,48.0,44.0,
8,57.0,67.0,67.0,
9,59.0,59.0,41.0,
10,69.0,83.0,66.0,
11,68.0,76.0,74.0,
12,63.0,71.0,61.0,
13,60.0,65.0,65.0,
14,67.0,67.0,61.0,
15,76.0,81.0,81.0,
16,60.0,65.0,51.0,
17,63.0,73.0,57.0,
18,56.0,56.0,54.0,
19,79.0,79.0,88.0,
20,78.0,78.0,75.0,
21,73.0,84.0,66.0,
22,67.0,67.0,67.0,
23,41.0,56.0,61.0,
24,58.0,70.0,65.0,
25,65.0,72.0,65.0,
26,67.0,67.0,63.0,
27,62.0,69.0,62.0,
28,51.0,63.0,48.0,
29,64.0,81.0,63.0,
30,71.0,85.0,85.0,
31,57.0,64.0,54.0,
32,66.0,76.0,62.0,
33,65.0,70.0,55.0,
34,83.0,85.0,87.0,
35,74.0,79.0,73.0,
36,64.0,59.0,59.0,
37,64.0,63.0,56.0,
38,62.0,67.0,63.0,
39,50.0,57.0,57.0,
40,73.0,84.0,70.0,
41,67.0,72.0,58.0,
42,54.0,47.0,53.0,
43,52.0,67.0,57.0,
44,57.0,64.0,51.0,
45,63.0,74.0,58.0,
46,69.0,81.0,69.0,
47,63.0,77.0,56.0,
48,69.0,66.0,64.0,
49,57.0,64.0,54.0,
50,47.0,54.0,47.0,
51,57.0,74.0,56.0,
52,66.0,78.0,57.0,
53,55.0,72.0,53.0,
54,57.0,63.0,63.0,
55,78.0,83.0,68.0,
56,56.0,68.0,58.0,
57,73.0,75.0,73.0,
58,62.0,62.0,51.0,
59,71.0,64.0,66.0,
60,52.0,62.0,57.0,
61,65.0,67.0,62.0,
62,69.0,74.0,67.0,
63,65.0,71.0,66.0,
64,57.0,77.0,62.0,
65,78.0,78.0,77.0,
66,82.0,82.0,77.0,
67,51.0,64.0,46.0,
68,72.0,81.0,66.0,
69,67.0,77.0,66.0,
70,63.0,70.0,72.0,
71,62.0,75.0,64.0,
72,51.0,74.0,63.0,
73,62.0,63.0,65.0,
74,57.0,57.0,50.0,
75,62.0,72.0,61.0,
76,69.0,75.0,54.0,
77,71.0,88.0,64.0,
78,70.0,80.0,75.0,
79,67.0,73.0,71.0,
80,61.0,56.0,56.0,
81,79.0,85.0,66.0,
82,71.0,82.0,72.0,
83,60.0,70.0,60.0,
84,66.0,72.0,55.0,
85,67.0,74.0,67.0,
86,50.0,57.0,41.0,
87,67.0,70.0,52.0,
88,68.0,78.0,67.0,
89,53.0,59.0,47.0,
90,53.0,46.0,46.0,
91,67.0,82.0,60.0,
92,58.0,68.0,56.0,
93,59.0,59.0,54.0,
94,56.0,67.0,62.0,
95,59.0,67.0,49.0,
96,69.0,81.0,61.0,
97,54.0,73.0,64.0,
98,60.0,67.0,50.0,
99,69.0,80.0,66.0,
