,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,55.0,66.0,51.0,
1,79.0,96.0,90.0,
2,77.0,87.0,77.0,
3,70.0,82.0,63.0,
4,69.0,69.0,68.0,
5,69.0,86.0,74.0,
6,68.0,76.0,61.0,
7,74.0,74.0,69.0,
8,62.0,75.0,62.0,
9,61.0,85.0,67.0,
10,73.0,97.0,77.0,
11,63.0,78.0,68.0,
12,70.0,88.0,63.0,
13,66.0,64.0,67.0,
14,71.0,71.0,65.0,
15,91.0,95.0,74.0,
16,67.0,79.0,57.0,
17,72.0,88.0,72.0,
18,70.0,75.0,61.0,
19,93.0,93.0,87.0,
20,87.0,87.0,77.0,
21,73.0,87.0,72.0,
22,68.0,86.0,73.0,
23,50.0,56.0,64.0,
24,66.0,78.0,69.0,
25,81.0,89.0,75.0,
26,70.0,85.0,76.0,
27,85.0,87.0,63.0,
28,51.0,63.0,48.0,
29,61.0,81.0,62.0,
30,82.0,93.0,97.0,
31,76.0,78.0,60.0,
32,86.0,98.0,82.0,
33,73.0,90.0,75.0,
34,87.0,106.0,101.0,
35,76.0,93.0,77.0,
36,67.0,76.0,67.0,
37,69.0,73.0,67.0,
38,74.0,78.0,60.0,
39,51.0,77.0,53.0,
40,74.0,94.0,80.0,
41,76.0,80.0,67.0,
42,57.0,73.0,58.0,
43,52.0,81.0,61.0,
44,69.0,80.0,69.0,
45,68.0,91.0,69.0,
46,77.0,94.0,77.0,
47,68.0,86.0,67.0,
48,78.0,70.0,63.0,
49,68.0,68.0,52.0,
50,69.0,79.0,58.0,
51,71.0,83.0,76.0,
52,70.0,85.0,70.0,
53,78.0,78.0,64.0,
54,65.0,81.0,70.0,
55,84.0,89.0,81.0,
56,71.0,81.0,73.0,
57,81.0,86.0,75.0,
58,61.0,67.0,51.0,
59,80.0,82.0,73.0,
60,55.0,67.0,57.0,
61,73.0,88.0,72.0,
62,67.0,83.0,71.0,
63,67.0,79.0,70.0,
64,73.0,82.0,52.0,
65,76.0,88.0,80.0,
66,87.0,102.0,81.0,
67,53.0,72.0,49.0,
68,79.0,90.0,79.0,
69,72.0,83.0,65.0,
70,67.0,74.0,68.0,
71,72.0,88.0,66.0,
72,51.0,70.0,65.0,
73,68.0,80.0,70.0,
74,69.0,84.0,55.0,
75,84.0,92.0,72.0,
76,92.0,92.0,61.0,
77,73.0,87.0,74.0,
78,72.0,85.0,69.0,
79,70.0,79.0,68.0,
80,71.0,82.0,65.0,
81,89.0,101.0,72.0,
82,76.0,77.0,80.0,
83,64.0,74.0,63.0,
84,74.0,88.0,62.0,
85,65.0,74.0,67.0,
86,58.0,64.0,52.0,
87,72.0,72.0,58.0,
88,74.0,93.0,70.0,
89,58.0,67.0,56.0,
90,62.0,73.0,55.0,
91,76.0,98.0,74.0,
92,73.0,69.0,69.0,
93,59.0,65.0,51.0,
94,59.0,85.0,62.0,
95,71.0,86.0,52.0,
96,75.0,87.0,72.0,
97,69.0,89.0,63.0,
98,68.0,81.0,65.0,
99,69.0,82.0,66.0,
