,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,20.0,31.0,18.0,
1,10.0,17.0,7.0,
2,23.0,15.0,19.0,
3,28.0,28.0,15.0,
4,9.0,17.0,9.0,
5,12.0,20.0,8.0,
6,17.0,25.0,10.0,
7,16.0,22.0,15.0,
8,12.0,22.0,13.0,
9,15.0,14.0,8.0,
10,28.0,33.0,17.0,
11,19.0,16.0,16.0,
12,12.0,23.0,10.0,
13,25.0,25.0,12.0,
14,14.0,19.0,10.0,
15,14.0,29.0,16.0,
16,25.0,25.0,14.0,
17,16.0,21.0,14.0,
18,15.0,12.0,9.0,
19,19.0,27.0,10.0,
20,12.0,28.0,16.0,
21,20.0,15.0,19.0,
22,17.0,17.0,17.0,
23,24.0,24.0,12.0,
24,9.0,16.0,12.0,
25,15.0,15.0,15.0,
26,19.0,19.0,14.0,
27,16.0,26.0,10.0,
28,25.0,25.0,19.0,
29,13.0,18.0,10.0,
30,14.0,20.0,14.0,
31,19.0,25.0,12.0,
32,14.0,27.0,14.0,
33,26.0,33.0,14.0,
34,15.0,20.0,8.0,
35,33.0,37.0,15.0,
36,14.0,25.0,14.0,
37,17.0,24.0,9.0,
38,14.0,22.0,10.0,
39,15.0,23.0,17.0,
40,21.0,31.0,21.0,
41,13.0,22.0,16.0,
42,24.0,25.0,8.0,
43,17.0,16.0,16.0,
44,14.0,24.0,10.0,
45,11.0,21.0,10.0,
46,17.0,27.0,17.0,
47,31.0,31.0,18.0,
48,19.0,27.0,14.0,
49,17.0,23.0,10.0,
50,12.0,17.0,9.0,
51,15.0,28.0,10.0,
52,29.0,29.0,17.0,
53,28.0,37.0,28.0,
54,10.0,20.0,7.0,
55,10.0,20.0,10.0,
56,13.0,34.0,13.0,
57,12.0,21.0,17.0,
58,10.0,10.0,10.0,
59,20.0,28.0,8.0,
60,29.0,29.0,9.0,
61,11.0,16.0,6.0,
62,7.0,7.0,8.0,
63,26.0,31.0,15.0,
64,30.0,35.0,19.0,
65,9.0,9.0,12.0,
66,14.0,19.0,19.0,
67,19.0,19.0,10.0,
68,23.0,29.0,12.0,
69,22.0,27.0,12.0,
70,13.0,32.0,19.0,
71,23.0,23.0,10.0,
72,15.0,23.0,14.0,
73,16.0,23.0,11.0,
74,22.0,25.0,10.0,
75,11.0,22.0,13.0,
76,21.0,29.0,16.0,
77,16.0,26.0,10.0,
78,10.0,35.0,24.0,
79,17.0,25.0,8.0,
80,29.0,29.0,15.0,
81,21.0,26.0,14.0,
82,16.0,16.0,8.0,
83,12.0,29.0,12.0,
84,16.0,13.0,10.0,
85,19.0,33.0,15.0,
86,37.0,37.0,19.0,
87,21.0,21.0,10.0,
88,29.0,38.0,17.0,
89,15.0,21.0,8.0,
90,24.0,20.0,18.0,
91,24.0,24.0,20.0,
92,15.0,20.0,10.0,
93,17.0,27.0,17.0,
94,19.0,29.0,19.0,
95,15.0,12.0,10.0,
96,16.0,27.0,11.0,
97,15.0,26.0,10.0,
98,14.0,19.0,12.0,
99,15.0,17.0,12.0,
