,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,36.0,36.0,36.0,47.0
1,44.0,49.0,39.0,54.0
2,46.0,51.0,46.0,58.00000018926586
3,32.0,38.0,33.0,43.0
4,40.0,52.0,50.0,59.0
5,40.0,45.0,40.0,45.0
6,36.0,44.0,38.0,61.0
7,52.0,52.0,52.0,60.0
8,34.0,34.0,34.0,39.0
9,37.0,41.0,37.0,49.0
10,39.0,50.0,34.0,55.0
11,46.0,46.0,41.0,51.0
12,35.0,40.0,39.0,45.0
13,38.0,42.0,35.0,47.0
14,36.0,42.0,33.0,47.0
15,18.0,24.0,18.0,29.0
16,35.0,35.0,50.0,60.0
17,52.0,46.0,51.0,57.0
18,41.0,50.0,43.0,60.0
19,47.0,52.0,44.0,60.0
20,43.0,53.0,38.0,54.0
21,40.0,52.0,35.0,59.0
22,41.0,46.0,36.0,51.0
23,40.0,51.0,51.0,56.0
24,35.0,40.0,35.0,45.0
25,33.0,38.0,33.0,46.0
26,27.0,33.0,27.0,41.0
27,37.0,37.0,32.0,43.0
28,49.0,55.0,55.0,61.0
29,43.0,51.0,42.0,62.0
30,39.0,62.0,50.0,63.0
31,40.0,45.0,32.0,52.0
32,19.0,19.0,19.0,19.0
33,33.0,38.0,28.0,38.0
34,43.0,43.0,43.0,52.0
35,41.0,41.0,31.0,41.0
36,41.0,41.0,46.0,51.0
37,51.0,51.0,48.0,61.0
38,52.0,46.0,42.0,63.0
39,44.0,51.0,43.0,57.0
40,41.0,40.0,41.0,54.0
41,43.0,43.0,42.0,49.0
42,36.0,41.0,36.0,47.0
43,43.0,48.0,40.0,53.0
44,38.0,38.0,38.0,44.0
45,36.0,41.0,41.0,53.0
46,43.0,43.0,37.0,50.0
47,43.0,48.0,42.0,56.0
48,42.0,42.0,42.0,49.0
49,38.0,45.0,40.0,50.0
50,32.0,37.0,37.0,42.0
51,50.0,57.0,52.0,68.0
52,42.0,49.0,49.0,60.0
53,42.0,42.0,42.0,47.0
54,44.0,46.0,44.0,54.00000000000001
55,33.0,43.0,33.0,50.0
56,47.0,64.0,56.0,65.0
57,45.0,60.0,45.0,65.0
58,41.0,49.0,46.0,60.0
59,42.0,42.0,36.0,47.0
60,33.0,38.0,43.0,48.0
61,38.0,33.0,38.0,46.0
62,38.0,43.0,34.0,45.0
63,33.0,43.0,38.0,43.0
64,39.0,51.0,44.0,61.0
65,33.0,33.0,33.0,33.00000057007792
66,40.0,49.0,44.0,63.0
67,39.0,47.0,40.0,58.0
68,42.0,50.0,44.0,51.00000081647169
69,41.0,58.0,48.0,65.0
70,40.0,50.0,50.0,55.000000000009
71,27.0,24.0,19.0,32.0
72,41.0,46.0,38.0,56.0
73,24.0,24.0,26.0,26.000000414647754
74,47.0,52.0,47.0,61.0
75,41.0,41.0,41.0,46.0
76,41.0,41.0,41.0,50.0
77,47.0,47.0,47.0,53.0
78,54.0,54.0,54.0,61.0
79,42.0,46.0,41.0,57.0
80,36.0,35.0,36.0,48.0
81,32.0,40.0,32.0,40.0
82,37.0,50.0,42.0,57.0
83,34.0,34.0,37.0,42.0
84,29.0,40.0,33.0,43.0
85,51.0,51.0,51.0,56.0
86,28.0,28.0,28.0,39.0
87,33.0,39.0,33.0,39.00000000003418
88,34.0,34.0,34.0,44.0
89,36.0,36.0,30.0,37.00000100888446
90,41.0,41.0,50.0,55.000000000000014
91,42.0,42.0,46.0,52.0
92,44.0,44.0,46.0,62.0
93,44.0,51.0,44.0,61.0
94,54.0,61.0,57.0,75.0
95,42.0,50.0,32.0,50.0
96,43.0,57.0,51.0,64.0
97,45.0,55.0,43.0,55.0
98,35.0,35.0,35.0,40.0
99,40.0,40.0,40.0,47.00000000002882
