,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,30.0,39.0,28.0,
1,45.0,40.0,35.0,
2,35.0,51.0,34.0,
3,25.0,37.0,34.0,
4,52.0,54.0,39.0,
5,25.0,31.0,28.0,
6,35.0,35.0,24.0,
7,31.0,39.0,31.0,
8,32.0,48.0,26.0,
9,31.0,40.0,39.0,
10,39.0,39.0,40.0,
11,32.0,48.0,31.0,
12,31.0,45.0,29.0,
13,28.0,39.0,34.0,
14,45.0,46.0,39.0,
15,39.0,39.0,30.0,
16,28.0,37.0,32.0,
17,34.0,47.0,24.0,
18,32.0,35.0,29.0,
19,36.0,36.0,37.0,
20,43.0,48.0,32.0,
21,40.0,46.0,43.0,
22,37.0,43.0,39.0,
23,23.0,34.0,32.0,
24,42.0,47.0,36.0,
25,29.0,36.0,32.0,
26,53.0,46.0,41.0,
27,37.0,43.0,26.0,
28,38.0,50.0,41.0,
29,40.0,47.0,39.0,
30,27.0,42.0,35.0,
31,33.0,38.0,25.0,
32,31.0,31.0,33.0,
33,31.0,31.0,37.0,
34,31.0,31.0,41.0,
35,54.0,53.0,41.0,
36,25.0,35.0,25.0,
37,29.0,46.0,33.0,
38,30.0,30.0,28.0,
39,46.0,55.0,39.0,
40,34.0,35.0,30.0,
41,38.0,47.0,32.0,
42,25.0,25.0,26.0,
43,27.0,37.0,36.0,
44,23.0,40.0,32.0,
45,25.0,31.0,30.0,
46,47.0,51.0,38.0,
47,28.0,35.0,28.0,
48,31.0,36.0,25.0,
49,34.0,40.0,34.0,
50,27.0,35.0,37.0,
51,32.0,40.0,35.0,
52,28.0,28.0,30.0,
53,42.0,42.0,40.0,
54,31.0,31.0,33.0,
55,29.0,39.0,27.0,
56,35.0,48.0,26.0,
57,26.0,41.0,44.0,
58,31.0,44.0,38.0,
59,29.0,42.0,37.0,
60,39.0,54.0,40.0,
61,34.0,48.0,35.0,
62,33.0,40.0,36.0,
63,34.0,36.0,32.0,
64,30.0,35.0,27.0,
65,37.0,45.0,31.0,
66,45.0,45.0,37.0,
67,30.0,43.0,32.0,
68,39.0,39.0,34.0,
69,40.0,47.0,41.0,
70,26.0,35.0,28.0,
71,37.0,52.0,38.0,
72,33.0,33.0,37.0,
73,39.0,46.0,34.0,
74,25.0,37.0,30.0,
75,37.0,48.0,42.0,
76,33.0,40.0,34.0,
77,35.0,44.0,39.0,
78,32.0,43.0,32.0,
79,37.0,39.0,31.0,
80,30.0,41.0,30.0,
81,35.0,35.0,37.0,
82,28.0,43.0,28.0,
83,28.0,37.0,27.0,
84,40.0,41.0,32.0,
85,29.0,42.0,35.0,
86,43.0,33.0,30.0,
87,35.0,41.0,25.0,
88,36.0,41.0,37.0,
89,25.0,34.0,33.0,
90,39.0,42.0,36.0,
91,42.0,47.0,34.0,
92,39.0,54.0,33.0,
93,47.0,55.0,43.0,
94,31.0,42.0,44.0,
95,30.0,45.0,40.0,
96,34.0,41.0,24.0,
97,38.0,34.0,23.0,
98,26.0,41.0,37.0,
99,30.0,36.0,35.0,
