,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,50.0,85.0,63.0,
1,54.0,79.0,47.0,
2,65.0,70.0,60.0,
3,73.0,79.0,67.0,
4,49.0,74.0,42.0,
5,69.0,68.0,55.0,
6,76.0,76.0,68.0,
7,69.0,73.0,56.0,
8,52.0,71.0,54.0,
9,45.0,67.0,57.0,
10,65.0,94.0,55.0,
11,68.0,82.0,68.0,
12,55.0,67.0,66.0,
13,64.0,73.0,54.0,
14,63.0,86.0,47.0,
15,72.0,87.0,62.0,
16,71.0,79.0,58.0,
17,79.0,81.0,72.0,
18,41.0,58.0,54.0,
19,78.0,93.0,62.0,
20,57.0,73.0,50.0,
21,60.0,79.0,57.0,
22,45.0,56.0,56.0,
23,71.0,88.0,70.0,
24,59.0,66.0,56.0,
25,60.0,75.0,59.0,
26,60.0,87.0,66.0,
27,62.0,62.0,49.0,
28,77.0,97.0,82.0,
29,63.0,65.0,67.0,
30,60.0,86.0,51.0,
31,56.0,83.0,65.0,
32,62.0,70.0,64.0,
33,74.0,77.0,60.0,
34,50.0,76.0,49.0,
35,72.0,88.0,61.0,
36,61.0,72.0,63.0,
37,67.0,80.0,56.0,
38,74.0,89.0,59.0,
39,69.0,86.0,53.0,
40,77.0,87.0,65.0,
41,72.0,86.0,59.0,
42,60.0,57.0,48.0,
43,58.0,81.0,51.0,
44,69.0,86.0,67.0,
45,63.0,68.0,40.0,
46,66.0,76.0,62.0,
47,80.0,85.0,75.0,
48,62.0,80.0,62.0,
49,68.0,68.0,50.0,
50,50.0,71.0,58.0,
51,57.0,64.0,62.0,
52,80.0,99.0,67.0,
53,68.0,83.0,73.0,
54,57.0,85.0,74.0,
55,57.0,74.0,40.0,
56,69.0,86.0,70.0,
57,60.0,78.0,52.0,
58,59.0,70.0,49.0,
59,62.0,75.0,41.0,
60,61.0,77.0,46.0,
61,57.0,75.0,39.0,
62,37.0,57.0,50.0,
63,82.0,103.0,58.0,
64,78.0,78.0,66.0,
65,41.0,53.0,46.0,
66,50.0,71.0,67.0,
67,74.0,86.0,59.0,
68,87.0,98.0,60.0,
69,75.0,71.0,57.0,
70,66.0,72.0,53.0,
71,64.0,77.0,45.0,
72,72.0,79.0,57.0,
73,57.0,72.0,73.0,
74,71.0,78.0,67.0,
75,58.0,80.0,59.0,
76,68.0,84.0,71.0,
77,57.0,81.0,53.0,
78,80.0,95.0,76.0,
79,61.0,72.0,49.0,
80,55.0,73.0,51.0,
81,65.0,71.0,70.0,
82,59.0,75.0,56.0,
83,64.0,67.0,55.0,
84,49.0,55.0,49.0,
85,78.0,93.0,77.0,
86,79.0,87.0,62.0,
87,61.0,77.0,50.0,
88,72.0,81.0,58.0,
89,65.0,74.0,53.0,
90,75.0,78.0,71.0,
91,72.0,82.0,64.0,
92,62.0,68.0,55.0,
93,57.0,65.0,69.0,
94,82.0,103.0,68.0,
95,63.0,81.0,44.0,
96,43.0,75.0,71.0,
97,67.0,87.0,49.0,
98,54.0,62.0,46.0,
99,73.0,75.0,62.0,
