,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,53.0,73.0,63.0,
1,67.0,78.0,58.0,
2,76.0,76.0,78.0,
3,64.0,73.0,65.0,
4,85.0,92.0,83.0,
5,47.0,57.0,51.0,
6,71.0,83.0,57.0,
7,61.0,71.0,70.0,
8,52.0,75.0,62.0,
9,60.0,76.0,70.0,
10,74.0,80.0,65.0,
11,70.0,97.0,67.0,
12,62.0,75.0,64.0,
13,58.0,69.0,65.0,
14,71.0,77.0,69.0,
15,69.0,78.0,63.0,
16,55.0,63.0,63.0,
17,64.0,66.0,63.0,
18,57.0,79.0,67.0,
19,72.0,65.0,79.0,
20,64.0,77.0,66.0,
21,75.0,90.0,90.0,
22,77.0,82.0,76.0,
23,57.0,70.0,71.0,
24,68.0,94.0,81.0,
25,57.0,67.0,54.0,
26,77.0,101.0,77.0,
27,65.0,81.0,56.0,
28,69.0,84.0,72.0,
29,66.0,75.0,69.0,
30,61.0,71.0,64.0,
31,67.0,78.0,60.0,
32,57.0,69.0,63.0,
33,65.0,62.0,69.0,
34,62.0,62.0,68.0,
35,79.0,90.0,76.0,
36,56.0,81.0,56.0,
37,74.0,81.0,63.0,
38,61.0,60.0,50.0,
39,60.0,80.0,68.0,
40,59.0,72.0,56.0,
41,76.0,91.0,72.0,
42,69.0,74.0,61.0,
43,58.0,71.0,75.0,
44,58.0,69.0,58.0,
45,62.0,72.0,69.0,
46,81.0,92.0,77.0,
47,62.0,62.0,60.0,
48,60.0,71.0,57.0,
49,60.0,76.0,60.0,
50,61.0,61.0,63.0,
51,57.0,71.0,71.0,
52,56.0,61.0,59.0,
53,75.0,75.0,71.0,
54,62.0,62.0,62.0,
55,59.0,74.0,53.0,
56,68.0,74.0,52.0,
57,61.0,63.0,83.0,
58,66.0,71.0,75.0,
59,60.0,72.0,67.0,
60,73.0,88.0,80.0,
61,68.0,71.0,68.0,
62,69.0,84.0,68.0,
63,67.0,91.0,69.0,
64,58.0,67.0,52.0,
65,80.0,80.0,68.0,
66,73.0,73.0,68.0,
67,63.0,69.0,63.0,
68,64.0,63.0,64.0,
69,75.0,86.0,74.0,
70,59.0,64.0,61.0,
71,62.0,90.0,76.0,
72,57.0,78.0,69.0,
73,56.0,80.0,70.0,
74,68.0,76.0,64.0,
75,77.0,71.0,74.0,
76,63.0,83.0,68.0,
77,60.0,72.0,60.0,
78,60.0,80.0,71.0,
79,57.0,74.0,63.0,
80,53.0,72.0,58.0,
81,55.0,69.0,65.0,
82,56.0,72.0,54.0,
83,61.0,76.0,55.0,
84,70.0,75.0,65.0,
85,65.0,65.0,63.0,
86,60.0,72.0,55.0,
87,66.0,80.0,67.0,
88,73.0,79.0,63.0,
89,56.0,55.0,56.0,
90,65.0,80.0,64.0,
91,60.0,77.0,74.0,
92,67.0,82.0,72.0,
93,70.0,80.0,76.0,
94,70.0,84.0,74.0,
95,56.0,76.0,65.0,
96,62.0,71.0,52.0,
97,58.0,63.0,57.0,
98,60.0,80.0,68.0,
99,64.0,77.0,71.0,
