,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,61.0,70.0,52.0,
1,76.0,88.0,82.0,
2,57.0,78.0,62.0,
3,60.0,82.0,62.0,
4,97.0,111.0,76.0,
5,48.0,67.0,56.0,
6,63.0,89.0,63.0,
7,59.0,83.0,55.0,
8,61.0,80.0,56.0,
9,67.0,84.0,75.0,
10,93.0,103.0,62.0,
11,72.0,95.0,61.0,
12,80.0,101.0,80.0,
13,81.0,93.0,78.0,
14,101.0,94.0,94.0,
15,76.0,82.0,57.0,
16,81.0,94.0,53.0,
17,84.0,95.0,59.0,
18,51.0,63.0,40.0,
19,68.0,65.0,54.0,
20,65.0,95.0,77.0,
21,73.0,77.0,80.0,
22,69.0,86.0,76.0,
23,55.0,87.0,64.0,
24,80.0,88.0,68.0,
25,74.0,73.0,70.0,
26,80.0,82.0,78.0,
27,78.0,75.0,67.0,
28,58.0,77.0,80.0,
29,70.0,84.0,66.0,
30,71.0,78.0,54.0,
31,72.0,96.0,61.0,
32,56.0,59.0,69.0,
33,52.0,78.0,67.0,
34,58.0,72.0,78.0,
35,81.0,94.0,80.0,
36,60.0,93.0,69.0,
37,79.0,93.0,65.0,
38,76.0,75.0,68.0,
39,74.0,84.0,62.0,
40,70.0,84.0,59.0,
41,86.0,87.0,63.0,
42,50.0,60.0,53.0,
43,58.0,67.0,55.0,
44,62.0,77.0,64.0,
45,48.0,75.0,66.0,
46,72.0,84.0,63.0,
47,75.0,77.0,53.0,
48,60.0,89.0,50.0,
49,69.0,85.0,66.0,
50,55.0,65.0,66.0,
51,63.0,71.0,65.0,
52,70.0,78.0,63.0,
53,80.0,81.0,65.0,
54,67.0,81.0,67.0,
55,69.0,69.0,67.0,
56,73.0,80.0,50.0,
57,65.0,75.0,61.0,
58,66.0,78.0,78.0,
59,71.0,86.0,65.0,
60,59.0,89.0,77.0,
61,73.0,88.0,55.0,
62,68.0,93.0,51.0,
63,61.0,76.0,56.0,
64,70.0,80.0,56.0,
65,69.0,78.0,58.0,
66,65.0,74.0,44.0,
67,71.0,94.0,60.0,
68,91.0,106.0,70.0,
69,72.0,71.0,67.0,
70,61.0,73.0,53.0,
71,77.0,84.0,61.0,
72,59.0,72.0,78.0,
73,71.0,90.0,78.0,
74,73.0,89.0,54.0,
75,74.0,105.0,72.0,
76,53.0,67.0,59.0,
77,72.0,82.0,69.0,
78,83.0,104.0,78.0,
79,62.0,83.0,56.0,
80,65.0,73.0,63.0,
81,71.0,82.0,58.0,
82,52.0,91.0,58.0,
83,60.0,78.0,54.0,
84,61.0,75.0,70.0,
85,54.0,69.0,56.0,
86,57.0,78.0,49.0,
87,65.0,78.0,69.0,
88,75.0,104.0,60.0,
89,78.0,91.0,68.0,
90,81.0,106.0,75.0,
91,70.0,90.0,68.0,
92,80.0,81.0,65.0,
93,73.0,101.0,68.0,
94,86.0,94.0,62.0,
95,69.0,85.0,61.0,
96,78.0,89.0,69.0,
97,61.0,82.0,68.0,
98,57.0,78.0,63.0,
99,59.0,70.0,62.0,
