,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,53.0,59.0,49.0,
1,59.0,59.0,54.0,
2,58.0,70.0,58.0,
3,63.0,63.0,57.0,
4,52.0,58.0,68.0,
5,71.0,76.0,68.0,
6,67.0,74.0,71.0,
7,71.0,76.0,66.0,
8,54.0,61.0,55.0,
9,55.0,55.0,56.0,
10,60.0,71.0,61.0,
11,64.0,70.0,70.0,
12,52.0,52.0,52.0,
13,64.0,71.0,64.0,
14,55.0,61.0,50.0,
15,46.0,51.0,46.0,
16,63.0,71.0,71.0,
17,71.0,65.0,66.0,
18,60.0,56.0,61.0,
19,78.0,83.0,71.0,
20,58.0,56.0,65.0,
21,73.0,78.0,64.0,
22,51.0,54.0,54.0,
23,56.0,66.0,69.0,
24,59.0,65.0,60.0,
25,46.0,57.0,52.0,
26,51.0,51.0,53.0,
27,59.0,59.0,53.0,
28,60.0,65.0,70.0,
29,66.0,66.0,57.0,
30,69.0,83.0,64.0,
31,61.0,71.0,65.0,
32,43.0,43.0,52.0,
33,66.0,66.0,55.0,
34,61.0,74.0,64.0,
35,76.0,76.0,71.0,
36,61.0,67.0,61.0,
37,69.0,68.0,68.0,
38,65.0,70.0,61.0,
39,55.0,68.0,62.0,
40,59.0,67.0,60.0,
41,62.0,68.0,61.0,
42,57.0,57.0,47.0,
43,63.0,68.0,52.0,
44,68.0,68.0,57.0,
45,59.0,70.0,58.0,
46,74.0,74.0,63.0,
47,67.0,68.0,68.0,
48,48.0,61.0,55.0,
49,59.0,69.0,64.0,
50,57.0,57.0,57.0,
51,64.0,64.0,63.0,
52,71.0,83.0,64.0,
53,68.0,58.0,58.0,
54,63.0,63.0,63.0,
55,57.0,67.0,52.0,
56,72.0,83.0,80.0,
57,71.0,69.0,64.0,
58,64.0,64.0,64.0,
59,65.0,65.0,65.0,
60,57.0,57.0,58.0,
61,57.0,58.0,57.0,
62,51.0,67.0,62.0,
63,53.0,53.0,53.0,
64,72.0,77.0,60.0,
65,53.0,63.0,52.0,
66,69.0,74.0,58.0,
67,70.0,68.0,60.0,
68,70.0,78.0,63.0,
69,71.0,78.0,58.0,
70,67.0,72.0,82.0,
71,43.0,43.0,43.0,
72,62.0,70.0,62.0,
73,48.0,55.0,48.0,
74,76.0,73.0,60.0,
75,61.0,61.0,53.0,
76,60.0,60.0,60.0,
77,52.0,63.0,58.0,
78,69.0,67.0,69.0,
79,55.0,65.0,60.0,
80,53.0,53.0,48.0,
81,60.0,60.0,60.0,
82,57.0,72.0,57.0,
83,55.0,63.0,58.0,
84,56.0,63.0,61.0,
85,65.0,64.0,59.0,
86,61.0,61.0,54.0,
87,45.0,55.0,50.0,
88,61.0,61.0,53.0,
89,54.0,55.0,48.0,
90,67.0,72.0,75.0,
91,51.0,56.0,49.0,
92,58.0,62.0,64.0,
93,61.0,68.0,63.0,
94,70.0,85.0,73.0,
95,54.0,62.0,59.0,
96,62.0,76.0,71.0,
97,62.0,84.0,65.0,
98,39.0,46.0,45.0,
99,59.0,64.0,59.0,
