,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,20.0,35.0,18.0,
1,23.0,30.0,10.0,
2,12.0,22.0,15.0,
3,20.0,20.0,16.0,
4,15.0,15.0,17.0,
5,29.0,37.0,12.0,
6,23.0,40.0,18.0,
7,22.0,37.0,17.0,
8,18.0,22.0,10.0,
9,13.0,15.0,9.0,
10,27.0,32.0,17.0,
11,18.0,22.0,10.0,
12,24.0,28.0,18.0,
13,20.0,27.0,11.0,
14,11.0,34.0,14.0,
15,24.0,34.0,10.0,
16,18.0,34.0,14.0,
17,16.0,22.0,13.0,
18,11.0,11.0,9.0,
19,26.0,30.0,13.0,
20,16.0,34.0,18.0,
21,15.0,20.0,9.0,
22,23.0,16.0,14.0,
23,22.0,42.0,19.0,
24,12.0,12.0,12.0,
25,22.0,22.0,15.0,
26,19.0,19.0,14.0,
27,21.0,24.0,15.0,
28,21.0,27.0,20.0,
29,14.0,29.0,15.0,
30,14.0,20.0,14.0,
31,16.0,30.0,14.0,
32,24.0,31.0,18.0,
33,32.0,41.0,14.0,
34,18.0,32.0,9.0,
35,33.0,30.0,17.0,
36,20.0,27.0,14.0,
37,21.0,29.0,23.0,
38,14.0,30.0,13.0,
39,26.0,26.0,13.0,
40,33.0,39.0,21.0,
41,17.0,26.0,16.0,
42,19.0,28.0,8.0,
43,26.0,34.0,17.0,
44,29.0,25.0,14.0,
45,18.0,28.0,13.0,
46,22.0,34.0,17.0,
47,22.0,29.0,10.0,
48,37.0,45.0,14.0,
49,17.0,35.0,14.0,
50,10.0,22.0,10.0,
51,15.0,28.0,10.0,
52,36.0,41.0,18.0,
53,28.0,37.0,16.0,
54,18.0,35.0,10.0,
55,16.0,28.0,10.0,
56,31.0,31.0,12.0,
57,26.0,35.0,18.0,
58,23.0,23.0,16.0,
59,20.0,28.0,8.0,
60,28.0,32.0,9.0,
61,25.0,30.0,8.0,
62,11.0,18.0,8.0,
63,26.0,31.0,17.0,
64,30.0,36.0,19.0,
65,16.0,23.0,12.0,
66,37.0,47.0,10.0,
67,28.0,35.0,15.0,
68,33.0,36.0,15.0,
69,20.0,32.0,14.0,
70,24.0,31.0,14.0,
71,23.0,33.0,12.0,
72,31.0,31.0,14.0,
73,16.0,21.0,11.0,
74,30.0,30.0,10.0,
75,19.0,29.0,9.0,
76,31.0,35.0,16.0,
77,27.0,37.0,10.0,
78,21.0,38.0,27.0,
79,11.0,25.0,11.0,
80,29.0,30.0,16.0,
81,24.0,35.0,11.0,
82,19.0,33.0,10.0,
83,22.0,29.0,15.0,
84,18.0,23.0,13.0,
85,19.0,40.0,15.0,
86,32.0,51.0,19.0,
87,15.0,30.0,15.0,
88,29.0,45.0,10.0,
89,15.0,25.0,17.0,
90,22.0,39.0,24.0,
91,21.0,31.0,20.0,
92,22.0,22.0,10.0,
93,24.0,24.0,18.0,
94,17.0,32.0,20.0,
95,21.0,30.0,10.0,
96,26.0,31.0,10.0,
97,30.0,26.0,10.0,
98,19.0,29.0,10.0,
99,18.0,28.0,10.0,
