,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,42.0,58.0,39.0,
1,41.0,57.0,35.0,
2,57.0,66.0,40.0,
3,51.0,56.0,41.0,
4,48.0,47.0,40.0,
5,59.0,71.0,36.0,
6,52.0,53.0,55.0,
7,63.0,70.0,59.0,
8,36.0,53.0,32.0,
9,35.0,45.0,39.0,
10,54.0,67.0,59.0,
11,53.0,63.0,30.0,
12,51.0,58.0,47.0,
13,47.0,58.0,46.0,
14,46.0,46.0,33.0,
15,48.0,63.0,45.0,
16,49.0,46.0,47.0,
17,44.0,58.0,42.0,
18,35.0,38.0,27.0,
19,53.0,62.0,42.0,
20,38.0,40.0,50.0,
21,49.0,68.0,51.0,
22,45.0,52.0,40.0,
23,71.0,86.0,51.0,
24,41.0,41.0,27.0,
25,46.0,53.0,40.0,
26,45.0,46.0,39.0,
27,45.0,54.0,36.0,
28,48.0,73.0,53.0,
29,57.0,65.0,52.0,
30,42.0,52.0,41.0,
31,42.0,54.0,42.0,
32,41.0,55.0,39.0,
33,51.0,59.0,47.0,
34,59.0,56.0,38.0,
35,44.0,56.0,56.0,
36,32.0,52.0,36.0,
37,54.0,54.0,52.0,
38,44.0,54.0,48.0,
39,57.0,57.0,38.0,
40,56.0,68.0,43.0,
41,55.0,72.0,40.0,
42,41.0,43.0,41.0,
43,50.0,50.0,36.0,
44,51.0,54.0,46.0,
45,42.0,53.0,30.0,
46,55.0,64.0,50.0,
47,49.0,70.0,47.0,
48,51.0,55.0,43.0,
49,43.0,48.0,43.0,
50,43.0,49.0,33.0,
51,53.0,53.0,38.0,
52,54.0,68.0,52.0,
53,49.0,53.0,47.0,
54,42.0,48.0,51.0,
55,37.0,42.0,28.0,
56,49.0,57.0,43.0,
57,56.0,75.0,49.0,
58,43.0,58.0,44.0,
59,44.0,53.0,34.0,
60,56.0,53.0,32.0,
61,49.0,59.0,41.0,
62,31.0,45.0,22.0,
63,47.0,79.0,46.0,
64,61.0,67.0,43.0,
65,27.0,40.0,37.0,
66,56.0,57.0,41.0,
67,68.0,68.0,48.0,
68,52.0,75.0,51.0,
69,49.0,58.0,40.0,
70,50.0,57.0,54.0,
71,45.0,56.0,40.0,
72,51.0,76.0,40.0,
73,45.0,48.0,44.0,
74,55.0,71.0,42.0,
75,43.0,52.0,48.0,
76,51.0,58.0,57.0,
77,48.0,53.0,39.0,
78,78.0,93.0,54.0,
79,43.0,43.0,37.0,
80,52.0,50.0,47.0,
81,48.0,62.0,29.0,
82,37.0,45.0,41.0,
83,58.0,61.0,38.0,
84,38.0,51.0,34.0,
85,52.0,68.0,54.0,
86,74.0,80.0,56.0,
87,45.0,50.0,38.0,
88,60.0,66.0,43.0,
89,41.0,64.0,36.0,
90,51.0,65.0,54.0,
91,54.0,63.0,35.0,
92,34.0,53.0,36.0,
93,48.0,70.0,56.0,
94,57.0,80.0,55.0,
95,49.0,61.0,40.0,
96,60.0,47.0,38.0,
97,47.0,68.0,37.0,
98,62.0,62.0,33.0,
99,45.0,50.0,44.0,
