,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,75.0,101.0,78.0,
1,78.0,90.0,69.0,
2,80.0,91.0,88.0,
3,87.0,98.0,84.0,
4,62.0,90.0,57.0,
5,89.0,95.0,81.0,
6,85.0,96.0,84.0,
7,79.0,99.0,75.0,
8,95.0,89.0,77.0,
9,59.0,64.0,71.0,
10,88.0,113.0,86.0,
11,74.0,98.0,82.0,
12,76.0,89.0,88.0,
13,91.0,91.0,78.0,
14,82.0,88.0,67.0,
15,82.0,101.0,82.0,
16,94.0,94.0,76.0,
17,88.0,100.0,95.0,
18,66.0,88.0,61.0,
19,94.0,105.0,92.0,
20,79.0,82.0,82.0,
21,87.0,107.0,80.0,
22,56.0,74.0,71.0,
23,90.0,120.0,101.0,
24,69.0,88.0,72.0,
25,75.0,93.0,78.0,
26,87.0,94.0,83.0,
27,76.0,83.0,62.0,
28,101.0,120.0,103.0,
29,82.0,91.0,77.0,
30,71.0,92.0,81.0,
31,82.0,115.0,93.0,
32,72.0,90.0,73.0,
33,79.0,93.0,92.0,
34,71.0,96.0,77.0,
35,82.0,99.0,98.0,
36,77.0,89.0,85.0,
37,74.0,97.0,80.0,
38,94.0,113.0,76.0,
39,79.0,106.0,65.0,
40,91.0,108.0,94.0,
41,91.0,102.0,84.0,
42,74.0,99.0,56.0,
43,81.0,106.0,66.0,
44,94.0,99.0,84.0,
45,83.0,86.0,70.0,
46,82.0,105.0,102.0,
47,100.0,108.0,91.0,
48,81.0,88.0,84.0,
49,77.0,93.0,82.0,
50,82.0,90.0,77.0,
51,69.0,92.0,85.0,
52,96.0,121.0,84.0,
53,83.0,94.0,91.0,
54,79.0,89.0,95.0,
55,73.0,101.0,50.0,
56,89.0,100.0,87.0,
57,72.0,88.0,73.0,
58,82.0,84.0,66.0,
59,77.0,89.0,58.0,
60,80.0,94.0,71.0,
61,77.0,87.0,61.0,
62,62.0,61.0,64.0,
63,95.0,108.0,81.0,
64,90.0,108.0,87.0,
65,61.0,71.0,62.0,
66,72.0,75.0,84.0,
67,89.0,111.0,75.0,
68,102.0,124.0,86.0,
69,90.0,90.0,86.0,
70,76.0,94.0,85.0,
71,74.0,84.0,67.0,
72,96.0,109.0,80.0,
73,63.0,80.0,89.0,
74,92.0,99.0,75.0,
75,70.0,91.0,86.0,
76,80.0,106.0,95.0,
77,76.0,90.0,74.0,
78,97.0,116.0,95.0,
79,68.0,89.0,65.0,
80,68.0,81.0,66.0,
81,75.0,86.0,84.0,
82,72.0,99.0,76.0,
83,81.0,91.0,76.0,
84,60.0,82.0,66.0,
85,88.0,108.0,102.0,
86,87.0,92.0,83.0,
87,73.0,92.0,71.0,
88,85.0,94.0,81.0,
89,74.0,92.0,84.0,
90,86.0,92.0,84.0,
91,92.0,104.0,83.0,
92,62.0,85.0,74.0,
93,69.0,81.0,91.0,
94,101.0,126.0,101.0,
95,81.0,96.0,75.0,
96,92.0,84.0,101.0,
97,85.0,101.0,65.0,
98,69.0,74.0,73.0,
99,85.0,97.0,79.0,
