,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,25.0,27.0,24.0,
1,19.0,37.0,13.0,
2,44.0,43.0,26.0,
3,15.0,25.0,10.0,
4,35.0,35.0,15.0,
5,19.0,31.0,14.0,
6,36.0,42.0,18.0,
7,46.0,45.0,10.0,
8,27.0,27.0,10.0,
9,36.0,36.0,14.0,
10,34.0,31.0,12.0,
11,20.0,25.0,24.0,
12,29.0,40.0,18.0,
13,31.0,36.0,21.0,
14,15.0,27.0,18.0,
15,33.0,35.0,16.0,
16,15.0,37.0,9.0,
17,22.0,27.0,18.0,
18,27.0,27.0,20.0,
19,20.0,38.0,22.0,
20,30.0,49.0,18.0,
21,30.0,28.0,19.0,
22,17.0,32.0,11.0,
23,27.0,21.0,16.0,
24,29.0,31.0,17.0,
25,30.0,34.0,19.0,
26,42.0,39.0,20.0,
27,24.0,29.0,18.0,
28,29.0,38.0,16.0,
29,31.0,31.0,16.0,
30,36.0,39.0,19.0,
31,39.0,39.0,17.0,
32,37.0,35.0,17.0,
33,25.0,33.0,19.0,
34,28.0,29.0,29.0,
35,25.0,30.0,15.0,
36,42.0,41.0,22.0,
37,21.0,28.0,10.0,
38,25.0,39.0,16.0,
39,34.0,34.0,16.0,
40,28.0,28.0,19.0,
41,21.0,31.0,20.0,
42,24.0,26.0,18.0,
43,29.0,29.0,12.0,
44,26.0,32.0,10.0,
45,30.0,30.0,15.0,
46,29.0,35.0,10.0,
47,25.0,41.0,19.0,
48,25.0,32.0,16.0,
49,29.0,47.0,16.0,
50,29.0,39.0,15.0,
51,10.0,26.0,14.0,
52,25.0,26.0,10.0,
53,38.0,36.0,10.0,
54,25.0,25.0,15.0,
55,31.0,28.0,17.0,
56,34.0,43.0,27.0,
57,33.0,42.0,18.0,
58,40.0,36.0,11.0,
59,16.0,30.0,17.0,
60,30.0,37.0,20.0,
61,25.0,37.0,18.0,
62,30.0,35.0,12.0,
63,33.0,44.0,14.0,
64,21.0,30.0,20.0,
65,28.0,31.0,11.0,
66,31.0,35.0,10.0,
67,18.0,25.0,10.0,
68,15.0,30.0,15.0,
69,26.0,34.0,10.0,
70,30.0,36.0,18.0,
71,20.0,24.0,10.0,
72,36.0,32.0,16.0,
73,23.0,42.0,14.0,
74,40.0,43.0,23.0,
75,33.0,39.0,18.0,
76,26.0,32.0,16.0,
77,30.0,34.0,15.0,
78,13.0,21.0,15.0,
79,27.0,27.0,13.0,
80,37.0,38.0,18.0,
81,28.0,26.0,17.0,
82,32.0,41.0,17.0,
83,19.0,28.0,18.0,
84,23.0,30.0,19.0,
85,23.0,23.0,10.0,
86,27.0,37.0,17.0,
87,28.0,30.0,10.0,
88,24.0,32.0,14.0,
89,26.0,35.0,14.0,
90,27.0,27.0,10.0,
91,28.0,39.0,20.0,
92,37.0,35.0,17.0,
93,25.0,32.0,11.0,
94,23.0,35.0,15.0,
95,22.0,27.0,13.0,
96,30.0,34.0,19.0,
97,28.0,36.0,14.0,
98,34.0,30.0,10.0,
99,24.0,29.0,14.0,
