,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,16.0,17.0,10.0,
1,14.0,14.0,7.0,
2,18.0,19.0,17.0,
3,17.0,22.0,10.0,
4,9.0,21.0,9.0,
5,15.0,23.0,8.0,
6,11.0,20.0,11.0,
7,16.0,16.0,12.0,
8,10.0,15.0,10.0,
9,6.0,11.0,10.0,
10,16.0,22.0,13.0,
11,19.0,25.0,24.0,
12,13.0,13.0,13.0,
13,12.0,18.0,12.0,
14,11.0,21.0,10.0,
15,18.0,25.0,18.0,
16,10.0,17.0,13.0,
17,19.0,19.0,19.0,
18,15.0,21.0,9.0,
19,22.0,31.0,18.0,
20,14.0,14.0,7.0,
21,20.0,15.0,15.0,
22,15.0,14.0,14.0,
23,15.0,15.0,10.0,
24,12.0,12.0,12.0,
25,15.0,15.0,14.0,
26,16.0,13.0,8.0,
27,14.0,21.0,7.0,
28,9.0,15.0,9.0,
29,13.0,13.0,7.0,
30,14.0,23.0,14.0,
31,19.0,24.0,11.0,
32,13.0,13.0,8.0,
33,19.0,19.0,13.0,
34,15.0,15.0,20.0,
35,33.0,34.0,15.0,
36,9.0,22.0,9.0,
37,16.0,16.0,9.0,
38,11.0,19.0,13.0,
39,19.0,13.0,11.0,
40,24.0,30.0,15.0,
41,22.0,30.0,13.0,
42,21.0,29.0,8.0,
43,16.0,16.0,16.0,
44,14.0,24.0,14.0,
45,18.0,19.0,17.0,
46,17.0,27.0,17.0,
47,18.0,26.0,13.0,
48,21.0,21.0,14.0,
49,17.0,24.0,10.0,
50,16.0,16.0,15.0,
51,12.0,12.0,7.0,
52,19.0,19.0,17.0,
53,20.0,16.0,10.0,
54,10.0,17.0,10.0,
55,19.0,19.0,10.0,
56,16.0,23.0,7.0,
57,11.0,18.0,11.0,
58,10.0,10.0,9.0,
59,22.0,22.0,16.0,
60,11.0,11.0,7.0,
61,18.0,18.0,5.0,
62,8.0,8.0,6.0,
63,15.0,23.0,8.0,
64,13.0,21.0,16.0,
65,9.0,9.0,9.0,
66,10.0,20.0,14.0,
67,9.0,16.0,9.0,
68,12.0,17.0,10.0,
69,14.0,24.0,14.0,
70,19.0,19.0,19.0,
71,14.0,15.0,8.0,
72,17.0,29.0,15.0,
73,6.0,6.0,10.0,
74,18.0,25.0,10.0,
75,14.0,19.0,7.0,
76,13.0,19.0,9.0,
77,9.0,19.0,10.0,
78,10.0,18.0,17.0,
79,7.0,7.0,6.0,
80,11.0,18.0,7.0,
81,12.0,12.0,13.0,
82,8.0,16.0,16.0,
83,11.0,18.0,9.0,
84,13.0,13.0,8.0,
85,17.0,30.0,13.0,
86,18.0,18.0,10.0,
87,10.0,16.0,10.0,
88,18.0,18.0,10.0,
89,11.0,19.0,8.0,
90,24.0,24.0,18.0,
91,12.0,12.0,9.0,
92,15.0,15.0,8.0,
93,17.0,17.0,7.0,
94,19.0,19.0,19.0,
95,12.0,12.0,10.0,
96,16.0,13.0,8.0,
97,15.0,26.0,10.0,
98,7.0,12.0,7.0,
99,15.0,15.0,10.0,
