,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,34.0,43.0,43.0,53.0
1,46.0,46.0,35.0,57.000000000000014
2,48.0,64.0,51.0,72.0
3,39.0,43.0,39.0,59.99999999999924
4,48.0,63.0,56.0,73.0
5,32.0,36.0,36.0,48.0
6,50.0,55.0,48.0,60.0
7,36.0,58.0,48.0,66.0
8,42.0,50.0,33.0,50.0
9,48.0,43.0,33.0,55.0
10,52.0,52.0,46.0,57.0
11,50.0,60.0,54.0,71.0
12,41.0,54.0,46.0,61.0
13,40.0,48.0,48.0,56.0
14,41.0,41.0,35.0,51.0
15,45.0,63.0,40.0,63.0
16,39.0,44.0,44.0,52.0
17,41.0,56.0,43.0,64.0
18,42.0,49.0,49.0,64.0
19,41.0,50.0,50.0,59.0
20,43.0,48.0,42.0,55.0
21,55.0,64.0,58.0,75.0
22,44.0,57.0,57.0,64.0
23,31.0,45.0,37.0,54.0
24,53.0,68.0,59.0,73.0
25,35.0,38.0,32.0,53.0
26,58.0,63.0,53.0,78.0
27,37.0,54.0,43.0,61.0
28,54.0,63.0,50.0,74.0
29,49.0,49.0,40.0,55.0
30,40.0,47.0,40.0,53.0
31,38.0,43.0,43.0,61.0
32,46.0,52.0,46.0,63.0
33,32.0,51.0,49.0,57.99999999999999
34,30.0,36.0,30.0,45.00000000000001
35,57.0,57.0,43.0,70.0
36,39.0,50.0,44.0,60.00000000000001
37,53.0,60.0,53.0,62.0
38,41.0,41.0,38.0,47.0
39,33.0,41.0,35.0,55.0
40,49.0,49.0,36.0,61.0
41,42.0,58.0,51.0,73.0
42,47.0,52.0,44.0,52.0
43,43.0,49.0,46.0,63.0
44,29.0,36.0,29.0,42.0
45,39.0,48.0,55.0,62.0
46,52.0,52.0,52.0,67.0
47,37.0,31.0,38.0,47.0
48,46.0,52.0,46.0,63.0
49,42.0,55.0,44.0,63.0
50,30.0,36.0,36.0,49.0
51,41.0,41.0,42.0,47.0
52,32.0,37.0,39.0,49.0
53,37.0,40.0,41.0,52.0
54,36.0,36.0,36.0,48.0
55,41.0,41.0,37.0,57.0
56,45.0,47.0,41.0,63.0
57,54.0,54.0,54.0,54.0
58,41.0,42.0,36.0,52.0
59,43.0,47.0,43.0,53.0
60,59.0,66.0,59.0,72.0
61,48.0,48.0,40.0,60.0
62,48.0,54.0,38.0,62.00000000003975
63,43.0,56.0,38.0,65.0
64,42.0,42.0,37.0,62.0
65,44.0,55.0,36.0,55.000000000000014
66,46.0,43.0,46.0,59.0
67,46.0,52.0,46.0,63.0
68,47.0,53.0,44.0,58.0
69,50.0,57.0,57.0,71.0
70,50.0,47.0,41.0,59.00000000000327
71,40.0,46.0,46.0,57.0
72,41.0,51.0,55.0,65.0
73,45.0,57.0,57.0,68.0
74,32.0,58.0,39.0,64.0
75,50.0,46.0,51.0,69.0
76,42.0,51.0,46.0,54.0
77,42.0,41.0,42.0,47.0
78,44.0,54.0,49.0,64.0
79,49.0,49.0,42.0,65.0
80,33.0,47.0,35.0,52.0
81,43.0,43.0,39.0,48.0
82,38.0,52.0,40.0,57.0
83,38.0,43.0,33.0,44.00000048268706
84,42.0,63.0,46.0,63.0
85,46.0,46.0,49.0,60.0
86,33.0,43.0,40.0,55.0
87,41.0,49.0,42.0,63.0
88,45.0,59.0,49.0,59.0
89,28.0,39.0,34.0,44.0
90,42.0,55.0,49.0,65.0
91,43.0,48.0,48.0,63.0
92,60.0,60.0,56.0,66.0
93,51.0,54.0,49.0,59.0
94,53.0,53.0,53.0,59.0
95,42.0,42.0,42.0,52.0
96,34.0,41.0,34.0,46.0
97,39.0,41.0,36.0,56.0
98,42.0,54.0,48.0,66.0
99,41.0,57.0,52.0,60.0
