,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,39.0,60.0,51.0,
1,57.0,62.0,45.0,
2,61.0,66.0,59.0,
3,39.0,53.0,49.0,
4,72.0,70.0,60.0,
5,37.0,46.0,41.0,
6,54.0,56.0,42.0,
7,49.0,53.0,55.0,
8,46.0,53.0,48.0,
9,47.0,59.0,58.0,
10,51.0,52.0,56.0,
11,58.0,80.0,49.0,
12,45.0,57.0,46.0,
13,45.0,54.0,49.0,
14,55.0,63.0,54.0,
15,49.0,62.0,40.0,
16,43.0,55.0,50.0,
17,48.0,58.0,42.0,
18,41.0,55.0,51.0,
19,50.0,51.0,53.0,
20,56.0,56.0,45.0,
21,67.0,71.0,73.0,
22,58.0,62.0,63.0,
23,42.0,53.0,57.0,
24,62.0,75.0,63.0,
25,39.0,54.0,42.0,
26,63.0,72.0,61.0,
27,51.0,65.0,41.0,
28,57.0,65.0,61.0,
29,53.0,60.0,51.0,
30,41.0,57.0,51.0,
31,53.0,65.0,47.0,
32,44.0,56.0,50.0,
33,37.0,46.0,56.0,
34,46.0,54.0,53.0,
35,68.0,74.0,59.0,
36,41.0,56.0,44.0,
37,54.0,58.0,48.0,
38,45.0,45.0,39.0,
39,51.0,59.0,50.0,
40,47.0,58.0,44.0,
41,54.0,64.0,53.0,
42,45.0,52.0,47.0,
43,43.0,52.0,52.0,
44,48.0,50.0,45.0,
45,42.0,51.0,48.0,
46,72.0,67.0,61.0,
47,42.0,45.0,40.0,
48,47.0,59.0,46.0,
49,52.0,63.0,48.0,
50,44.0,50.0,49.0,
51,52.0,60.0,55.0,
52,40.0,56.0,49.0,
53,57.0,62.0,56.0,
54,38.0,46.0,50.0,
55,47.0,58.0,41.0,
56,50.0,61.0,38.0,
57,41.0,51.0,66.0,
58,54.0,56.0,57.0,
59,43.0,61.0,56.0,
60,59.0,82.0,69.0,
61,53.0,53.0,48.0,
62,58.0,63.0,48.0,
63,49.0,53.0,56.0,
64,42.0,49.0,39.0,
65,55.0,73.0,51.0,
66,62.0,68.0,55.0,
67,52.0,57.0,44.0,
68,50.0,52.0,50.0,
69,61.0,66.0,55.0,
70,50.0,47.0,45.0,
71,45.0,77.0,52.0,
72,46.0,56.0,56.0,
73,50.0,62.0,57.0,
74,42.0,58.0,48.0,
75,52.0,60.0,62.0,
76,47.0,63.0,58.0,
77,60.0,49.0,55.0,
78,47.0,55.0,55.0,
79,44.0,57.0,45.0,
80,37.0,60.0,41.0,
81,40.0,50.0,50.0,
82,39.0,56.0,39.0,
83,51.0,56.0,44.0,
84,41.0,58.0,52.0,
85,48.0,53.0,50.0,
86,43.0,53.0,42.0,
87,51.0,65.0,38.0,
88,51.0,60.0,47.0,
89,39.0,39.0,45.0,
90,50.0,63.0,52.0,
91,55.0,65.0,60.0,
92,53.0,62.0,60.0,
93,60.0,75.0,60.0,
94,55.0,69.0,59.0,
95,50.0,62.0,50.0,
96,44.0,56.0,38.0,
97,43.0,48.0,38.0,
98,53.0,54.0,56.0,
99,42.0,58.0,54.0,
