,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,71.0,81.0,50.0,
1,67.0,83.0,33.0,
2,97.0,110.0,71.0,
3,53.0,73.0,29.0,
4,84.0,94.0,45.0,
5,61.0,76.0,41.0,
6,78.0,100.0,54.0,
7,84.0,83.0,35.0,
8,63.0,79.0,30.0,
9,69.0,97.0,48.0,
10,65.0,81.0,47.0,
11,56.0,74.0,46.0,
12,84.0,89.0,55.0,
13,80.0,88.0,55.0,
14,59.0,80.0,48.0,
15,84.0,98.0,53.0,
16,70.0,94.0,37.0,
17,61.0,77.0,43.0,
18,67.0,83.0,39.0,
19,83.0,107.0,42.0,
20,71.0,105.0,38.0,
21,63.0,78.0,44.0,
22,65.0,75.0,40.0,
23,47.0,70.0,38.0,
24,72.0,86.0,36.0,
25,80.0,96.0,44.0,
26,78.0,85.0,45.0,
27,68.0,78.0,44.0,
28,64.0,92.0,50.0,
29,67.0,75.0,48.0,
30,77.0,96.0,51.0,
31,75.0,96.0,51.0,
32,78.0,100.0,54.0,
33,67.0,97.0,51.0,
34,84.0,104.0,62.0,
35,78.0,99.0,33.0,
36,80.0,82.0,46.0,
37,61.0,94.0,37.0,
38,71.0,94.0,49.0,
39,84.0,99.0,45.0,
40,66.0,93.0,46.0,
41,61.0,78.0,54.0,
42,80.0,92.0,44.0,
43,65.0,68.0,31.0,
44,62.0,89.0,35.0,
45,61.0,84.0,33.0,
46,78.0,88.0,40.0,
47,64.0,77.0,57.0,
48,62.0,79.0,50.0,
49,80.0,108.0,37.0,
50,76.0,84.0,39.0,
51,59.0,75.0,35.0,
52,59.0,71.0,39.0,
53,78.0,99.0,39.0,
54,62.0,93.0,42.0,
55,66.0,94.0,48.0,
56,87.0,99.0,47.0,
57,92.0,122.0,52.0,
58,72.0,88.0,41.0,
59,51.0,75.0,51.0,
60,80.0,94.0,59.0,
61,63.0,78.0,42.0,
62,77.0,99.0,48.0,
63,86.0,97.0,49.0,
64,74.0,90.0,45.0,
65,61.0,79.0,36.0,
66,80.0,112.0,43.0,
67,58.0,73.0,36.0,
68,71.0,68.0,41.0,
69,74.0,95.0,37.0,
70,78.0,92.0,42.0,
71,55.0,78.0,36.0,
72,62.0,87.0,44.0,
73,74.0,86.0,43.0,
74,77.0,110.0,60.0,
75,79.0,95.0,55.0,
76,61.0,74.0,35.0,
77,77.0,95.0,35.0,
78,52.0,71.0,44.0,
79,52.0,80.0,34.0,
80,64.0,81.0,53.0,
81,72.0,89.0,54.0,
82,79.0,86.0,43.0,
83,57.0,74.0,37.0,
84,71.0,86.0,61.0,
85,69.0,79.0,38.0,
86,62.0,89.0,42.0,
87,61.0,73.0,45.0,
88,59.0,88.0,37.0,
89,66.0,75.0,46.0,
90,67.0,76.0,40.0,
91,66.0,104.0,39.0,
92,70.0,100.0,45.0,
93,82.0,94.0,31.0,
94,73.0,80.0,38.0,
95,66.0,81.0,41.0,
96,74.0,85.0,46.0,
97,77.0,90.0,46.0,
98,68.0,83.0,36.0,
99,60.0,70.0,40.0,
