,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,47.0,52.0,52.0,52.0
1,57.0,57.0,51.0,64.0
2,72.0,72.0,66.0,72.0
3,60.0,66.0,54.0,66.0
4,59.0,68.0,68.0,73.0
5,47.0,47.0,46.0,59.0
6,59.0,67.0,62.0,67.0
7,60.0,66.0,66.0,66.0
8,51.0,64.0,41.0,69.0
9,60.0,53.0,44.0,60.0
10,57.0,62.0,57.0,67.0
11,71.0,71.0,64.0,71.0
12,55.0,60.0,60.0,67.0
13,51.0,61.0,61.0,69.0
14,51.0,51.0,41.0,57.0
15,69.0,69.0,54.0,75.0
16,60.0,60.0,60.0,60.0
17,56.0,61.0,56.0,69.0
18,51.0,54.0,58.0,63.0
19,59.0,59.0,59.0,59.0
20,55.0,62.0,55.0,67.0
21,75.0,75.0,75.0,75.0
22,64.0,64.0,64.0,64.0
23,50.0,56.0,55.0,65.0
24,73.0,73.0,73.0,73.0
25,45.0,45.0,45.0,59.0
26,72.0,78.0,72.0,78.0
27,61.0,61.0,52.0,68.0
28,69.0,69.0,68.0,74.0
29,55.0,55.0,55.0,64.0
30,53.0,53.0,53.0,64.0
31,51.0,56.0,55.0,71.0
32,58.0,63.0,67.0,73.0
33,52.0,57.0,57.0,64.0
34,53.0,51.0,45.0,64.0
35,70.0,70.0,62.0,70.0
36,59.0,69.0,60.0,77.0
37,69.0,60.0,60.0,69.0
38,52.0,52.0,42.0,58.0
39,51.0,60.0,55.0,60.0
40,55.0,55.0,49.0,61.0
41,67.0,73.0,66.0,73.0
42,44.0,52.0,44.0,52.0
43,59.0,69.0,56.0,74.0
44,42.0,47.0,42.0,55.0
45,48.0,62.0,62.0,62.0
46,67.0,72.0,67.0,72.0
47,42.0,36.0,50.0,60.0
48,62.0,68.0,57.0,68.0
49,63.0,68.0,57.0,68.0
50,47.0,49.0,49.0,59.0
51,48.0,54.0,48.0,59.0
52,43.0,50.0,50.0,60.0
53,47.0,52.0,47.0,59.0
54,47.0,47.0,41.0,52.0
55,52.0,52.0,53.0,63.0
56,54.0,68.0,52.0,68.0
57,54.0,61.0,54.0,61.00000000000936
58,52.0,52.0,47.0,52.0
59,53.0,53.0,58.0,58.0
60,72.0,72.0,72.0,72.0
61,55.0,62.0,55.0,67.0
62,53.0,61.0,54.0,67.0
63,57.0,70.0,52.0,70.0
64,55.0,67.0,55.0,67.0
65,54.0,60.0,49.0,65.0
66,59.0,70.0,59.0,70.0
67,57.0,63.0,57.0,63.0
68,58.0,58.0,58.0,63.0
69,61.0,71.0,65.0,71.0
70,59.0,64.0,64.0,73.0
71,52.0,57.0,52.0,62.0
72,55.0,65.0,65.0,65.0
73,57.0,68.0,68.0,68.0
74,58.0,70.0,51.0,70.0
75,62.0,62.0,62.0,69.0
76,46.0,51.0,51.0,66.0
77,52.0,52.0,47.0,52.0
78,59.0,64.0,59.0,69.0
79,59.0,65.0,54.0,70.0
80,38.0,57.0,47.0,57.0
81,53.0,48.0,44.0,60.0
82,57.0,67.0,55.0,67.0
83,44.0,49.0,33.0,49.0
84,53.0,68.0,58.0,68.0
85,60.0,60.0,55.0,65.0
86,60.0,60.0,55.0,60.0
87,57.0,57.0,57.0,68.0
88,59.0,59.0,59.0,59.0
89,44.0,44.0,44.0,54.0
90,50.0,71.0,59.0,71.0
91,54.0,63.0,59.0,68.0
92,66.0,66.0,66.0,66.0
93,54.0,64.0,59.0,69.0
94,53.0,53.0,58.0,64.0
95,47.0,52.0,52.0,57.0
96,51.0,51.0,44.0,56.0
97,48.0,61.0,48.0,66.0
98,54.0,54.0,60.0,66.0
99,57.0,57.0,52.0,65.0
