,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,88.0,109.0,75.0,
1,89.0,113.0,80.0,
2,98.0,109.0,82.0,
3,90.0,120.0,90.0,
4,68.0,100.0,74.0,
5,107.0,135.0,78.0,
6,109.0,121.0,86.0,
7,107.0,129.0,97.0,
8,98.0,118.0,74.0,
9,71.0,89.0,70.0,
10,104.0,131.0,89.0,
11,108.0,119.0,88.0,
12,98.0,121.0,96.0,
13,107.0,103.0,98.0,
14,85.0,89.0,78.0,
15,109.0,135.0,91.0,
16,93.0,95.0,91.0,
17,88.0,114.0,94.0,
18,67.0,85.0,60.0,
19,101.0,127.0,86.0,
20,85.0,107.0,100.0,
21,87.0,110.0,87.0,
22,71.0,101.0,89.0,
23,117.0,149.0,99.0,
24,83.0,104.0,74.0,
25,88.0,118.0,90.0,
26,99.0,117.0,77.0,
27,95.0,96.0,69.0,
28,97.0,126.0,109.0,
29,104.0,108.0,89.0,
30,90.0,115.0,79.0,
31,80.0,110.0,82.0,
32,82.0,107.0,78.0,
33,86.0,124.0,87.0,
34,97.0,105.0,88.0,
35,111.0,123.0,107.0,
36,69.0,102.0,88.0,
37,87.0,128.0,99.0,
38,113.0,123.0,88.0,
39,93.0,125.0,83.0,
40,107.0,145.0,97.0,
41,104.0,134.0,81.0,
42,80.0,95.0,75.0,
43,88.0,113.0,70.0,
44,88.0,110.0,94.0,
45,77.0,91.0,69.0,
46,102.0,119.0,114.0,
47,100.0,120.0,93.0,
48,83.0,110.0,81.0,
49,92.0,103.0,84.0,
50,80.0,94.0,73.0,
51,89.0,123.0,84.0,
52,111.0,132.0,99.0,
53,92.0,105.0,92.0,
54,86.0,94.0,95.0,
55,91.0,108.0,62.0,
56,93.0,118.0,84.0,
57,98.0,123.0,85.0,
58,85.0,98.0,97.0,
59,86.0,112.0,68.0,
60,93.0,110.0,68.0,
61,96.0,118.0,78.0,
62,54.0,78.0,61.0,
63,114.0,126.0,90.0,
64,103.0,113.0,85.0,
65,63.0,73.0,69.0,
66,94.0,109.0,84.0,
67,102.0,134.0,94.0,
68,111.0,132.0,96.0,
69,89.0,101.0,87.0,
70,93.0,107.0,88.0,
71,87.0,106.0,73.0,
72,92.0,120.0,78.0,
73,79.0,93.0,86.0,
74,111.0,118.0,80.0,
75,95.0,110.0,91.0,
76,103.0,120.0,109.0,
77,81.0,109.0,75.0,
78,130.0,146.0,112.0,
79,84.0,103.0,81.0,
80,92.0,117.0,95.0,
81,83.0,92.0,75.0,
82,88.0,111.0,103.0,
83,102.0,121.0,78.0,
84,81.0,94.0,69.0,
85,110.0,120.0,113.0,
86,113.0,124.0,113.0,
87,80.0,98.0,80.0,
88,100.0,122.0,94.0,
89,91.0,114.0,83.0,
90,94.0,107.0,94.0,
91,89.0,99.0,82.0,
92,85.0,102.0,82.0,
93,108.0,110.0,105.0,
94,103.0,133.0,106.0,
95,104.0,119.0,78.0,
96,98.0,97.0,85.0,
97,91.0,125.0,83.0,
98,101.0,90.0,80.0,
99,104.0,109.0,88.0,
