,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,78.0,101.0,55.0,
1,81.0,86.0,69.0,
2,111.0,113.0,93.0,
3,53.0,93.0,58.0,
4,75.0,93.0,69.0,
5,62.0,84.0,67.0,
6,75.0,89.0,72.0,
7,83.0,81.0,65.0,
8,62.0,79.0,58.0,
9,78.0,93.0,62.0,
10,76.0,97.0,59.0,
11,67.0,90.0,63.0,
12,73.0,91.0,74.0,
13,60.0,76.0,59.0,
14,60.0,86.0,72.0,
15,97.0,99.0,80.0,
16,84.0,98.0,73.0,
17,65.0,87.0,64.0,
18,67.0,77.0,50.0,
19,80.0,94.0,80.0,
20,86.0,120.0,72.0,
21,68.0,66.0,64.0,
22,70.0,74.0,73.0,
23,56.0,79.0,50.0,
24,62.0,65.0,63.0,
25,79.0,88.0,72.0,
26,78.0,93.0,60.0,
27,87.0,90.0,71.0,
28,76.0,76.0,69.0,
29,69.0,71.0,61.0,
30,86.0,98.0,91.0,
31,66.0,85.0,57.0,
32,75.0,102.0,68.0,
33,90.0,117.0,85.0,
34,73.0,93.0,89.0,
35,77.0,86.0,70.0,
36,56.0,92.0,57.0,
37,70.0,81.0,61.0,
38,65.0,88.0,69.0,
39,58.0,64.0,52.0,
40,73.0,107.0,83.0,
41,72.0,91.0,60.0,
42,80.0,85.0,67.0,
43,63.0,82.0,49.0,
44,81.0,94.0,69.0,
45,58.0,76.0,48.0,
46,81.0,96.0,65.0,
47,64.0,86.0,65.0,
48,66.0,88.0,61.0,
49,81.0,92.0,60.0,
50,84.0,98.0,67.0,
51,66.0,69.0,57.0,
52,62.0,85.0,74.0,
53,78.0,96.0,66.0,
54,65.0,88.0,48.0,
55,84.0,103.0,79.0,
56,84.0,100.0,61.0,
57,93.0,106.0,83.0,
58,71.0,84.0,74.0,
59,72.0,93.0,69.0,
60,74.0,84.0,68.0,
61,83.0,103.0,58.0,
62,75.0,90.0,60.0,
63,85.0,90.0,65.0,
64,57.0,93.0,67.0,
65,73.0,81.0,61.0,
66,86.0,106.0,81.0,
67,68.0,90.0,52.0,
68,75.0,94.0,78.0,
69,85.0,98.0,62.0,
70,81.0,97.0,72.0,
71,61.0,78.0,62.0,
72,60.0,78.0,57.0,
73,74.0,84.0,67.0,
74,87.0,89.0,81.0,
75,72.0,86.0,69.0,
76,73.0,98.0,66.0,
77,90.0,102.0,68.0,
78,58.0,70.0,74.0,
79,65.0,89.0,52.0,
80,79.0,89.0,69.0,
81,98.0,101.0,70.0,
82,69.0,89.0,59.0,
83,64.0,80.0,60.0,
84,75.0,100.0,71.0,
85,81.0,92.0,71.0,
86,64.0,77.0,45.0,
87,79.0,96.0,65.0,
88,77.0,89.0,59.0,
89,70.0,81.0,52.0,
90,71.0,82.0,63.0,
91,92.0,96.0,58.0,
92,71.0,107.0,68.0,
93,52.0,59.0,42.0,
94,49.0,79.0,55.0,
95,65.0,85.0,61.0,
96,71.0,89.0,66.0,
97,79.0,80.0,64.0,
98,64.0,87.0,53.0,
99,62.0,66.0,66.0,
