,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,18.0,18.0,11.0,19.0
1,15.0,23.0,9.0,26.0
2,18.0,18.0,9.0,18.0
3,18.0,18.0,10.0,18.000000000068425
4,15.0,15.0,8.0,20.0
5,11.0,22.0,12.0,30.0
6,16.0,16.0,9.0,16.0
7,15.0,15.0,9.0,15.0
8,21.0,21.0,12.0,28.0
9,9.0,21.0,9.0,21.0
10,21.0,21.0,18.0,31.0
11,10.0,10.0,9.0,16.0
12,12.0,12.0,10.0,18.000000000000004
13,14.0,14.0,14.0,20.0
14,11.0,11.0,14.0,15.0
15,22.0,26.0,19.0,31.0
16,13.0,16.0,8.0,16.0
17,11.0,11.0,13.0,13.0
18,16.0,16.0,12.0,21.0
19,15.0,24.0,16.0,26.0
20,19.0,15.0,10.0,29.0
21,10.0,19.0,9.0,19.0
22,11.0,17.0,9.0,20.0
23,5.0,11.0,11.0,14.0
24,6.0,13.0,12.0,20.0
25,14.0,14.0,9.0,23.0
26,16.0,16.0,16.0,16.0
27,15.0,15.0,15.0,25.0
28,11.0,11.0,8.0,19.0
29,8.0,16.0,8.0,19.0
30,10.0,18.0,10.0,27.0
31,17.0,17.0,9.0,24.0
32,11.0,11.0,8.0,21.0
33,19.0,19.0,10.0,24.0
34,23.0,29.0,13.0,31.0
35,17.0,17.0,17.0,25.0
36,8.0,8.0,9.0,9.0
37,14.0,14.0,8.0,14.00000000005047
38,15.0,15.0,10.0,16.0
39,12.0,18.0,7.0,19.0
40,18.0,18.0,10.0,24.0
41,14.0,20.0,9.0,20.0
42,14.0,14.0,7.0,16.0
43,7.0,14.0,7.0,14.0
44,15.0,21.0,8.0,21.0
45,15.0,15.0,9.0,17.0
46,14.0,14.0,9.0,21.0
47,9.0,9.0,9.0,20.0
48,11.0,11.0,11.0,17.0
49,10.0,16.0,10.0,20.0
50,5.0,5.0,5.0,7.000001102480556
51,11.0,11.0,10.0,16.0
52,17.0,10.0,7.0,17.0
53,14.0,11.0,8.0,19.0
54,16.0,15.0,15.0,22.0
55,7.0,15.0,5.0,23.0
56,21.0,20.0,11.0,27.0
57,15.0,24.0,15.0,29.0
58,18.0,18.0,9.0,18.0
59,10.0,18.0,10.0,24.0
60,15.0,15.0,12.0,16.0
61,11.0,13.0,7.0,13.0
62,18.0,18.0,8.0,25.0
63,13.0,19.0,7.0,19.0
64,13.0,13.0,8.0,21.0
65,16.0,16.0,10.0,20.0
66,17.0,17.0,17.0,18.0
67,9.0,15.0,9.0,21.0
68,11.0,16.0,16.0,24.0
69,18.0,19.0,10.0,27.0
70,20.0,20.0,20.0,30.0
71,20.0,20.0,9.0,24.0
72,7.0,13.0,7.0,14.0
73,17.0,23.0,9.0,23.0
74,10.0,10.0,7.0,12.0
75,19.0,19.0,16.0,24.0
76,13.0,13.0,8.0,14.0
77,15.0,25.0,11.0,25.0
78,17.0,25.0,9.0,25.0
79,17.0,24.0,8.0,24.0
80,16.0,16.0,9.0,23.0
81,12.0,12.0,12.0,23.0
82,15.0,10.0,10.0,20.0
83,16.0,16.0,16.0,23.0
84,12.0,12.0,6.0,12.0
85,16.0,16.0,10.0,18.0
86,7.0,7.0,7.0,7.000000947902792
87,10.0,16.0,7.0,18.0
88,14.0,14.0,8.0,26.0
89,11.0,12.0,6.0,17.0
90,6.0,11.0,6.0,11.0
91,10.0,17.0,10.0,17.0
92,13.0,20.0,7.0,20.000000000000004
93,8.0,13.0,8.0,13.0
94,11.0,7.0,12.0,18.0
95,16.0,21.0,8.0,21.0
96,10.0,12.0,12.0,17.0
97,12.0,12.0,7.0,12.0
98,9.0,16.0,9.0,16.0
99,19.0,19.0,10.0,25.0
