,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,17.0,27.0,17.0,
1,19.0,30.0,23.0,
2,35.0,36.0,19.0,
3,16.0,16.0,16.0,
4,19.0,19.0,19.0,
5,27.0,23.0,15.0,
6,16.0,28.0,14.0,
7,30.0,30.0,16.0,
8,22.0,28.0,16.0,
9,18.0,27.0,18.0,
10,14.0,24.0,12.0,
11,16.0,21.0,17.0,
12,23.0,23.0,16.0,
13,14.0,23.0,14.0,
14,20.0,22.0,18.0,
15,23.0,36.0,16.0,
16,15.0,25.0,16.0,
17,21.0,30.0,18.0,
18,22.0,26.0,9.0,
19,23.0,28.0,16.0,
20,33.0,35.0,18.0,
21,15.0,23.0,16.0,
22,17.0,25.0,16.0,
23,15.0,15.0,9.0,
24,11.0,11.0,16.0,
25,16.0,24.0,19.0,
26,37.0,33.0,20.0,
27,25.0,33.0,9.0,
28,21.0,33.0,16.0,
29,16.0,24.0,10.0,
30,36.0,33.0,21.0,
31,23.0,31.0,9.0,
32,22.0,37.0,17.0,
33,25.0,33.0,19.0,
34,24.0,27.0,28.0,
35,25.0,33.0,15.0,
36,23.0,30.0,15.0,
37,17.0,33.0,11.0,
38,25.0,25.0,13.0,
39,22.0,20.0,10.0,
40,28.0,28.0,18.0,
41,25.0,30.0,11.0,
42,22.0,24.0,15.0,
43,21.0,24.0,9.0,
44,20.0,29.0,13.0,
45,24.0,24.0,9.0,
46,14.0,14.0,15.0,
47,16.0,21.0,17.0,
48,25.0,32.0,16.0,
49,25.0,27.0,11.0,
50,23.0,32.0,16.0,
51,12.0,18.0,14.0,
52,16.0,16.0,13.0,
53,31.0,32.0,10.0,
54,15.0,15.0,15.0,
55,28.0,27.0,17.0,
56,30.0,31.0,16.0,
57,25.0,36.0,16.0,
58,20.0,25.0,14.0,
59,16.0,24.0,14.0,
60,16.0,16.0,10.0,
61,25.0,31.0,17.0,
62,22.0,22.0,12.0,
63,28.0,38.0,17.0,
64,22.0,22.0,15.0,
65,22.0,27.0,12.0,
66,26.0,32.0,18.0,
67,18.0,25.0,9.0,
68,16.0,22.0,16.0,
69,21.0,18.0,10.0,
70,31.0,36.0,16.0,
71,20.0,20.0,11.0,
72,20.0,19.0,9.0,
73,21.0,27.0,13.0,
74,36.0,31.0,21.0,
75,14.0,29.0,10.0,
76,24.0,30.0,16.0,
77,25.0,40.0,11.0,
78,13.0,21.0,15.0,
79,19.0,21.0,9.0,
80,14.0,14.0,13.0,
81,22.0,31.0,17.0,
82,25.0,27.0,15.0,
83,17.0,23.0,14.0,
84,21.0,26.0,16.0,
85,23.0,23.0,16.0,
86,10.0,16.0,9.0,
87,28.0,29.0,10.0,
88,20.0,20.0,11.0,
89,17.0,28.0,10.0,
90,20.0,25.0,12.0,
91,19.0,28.0,10.0,
92,18.0,21.0,14.0,
93,19.0,24.0,8.0,
94,10.0,22.0,13.0,
95,18.0,18.0,13.0,
96,15.0,29.0,14.0,
97,17.0,24.0,21.0,
98,22.0,27.0,10.0,
99,20.0,20.0,13.0,
