,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,62.0,80.0,80.0,
1,83.0,98.0,65.0,
2,69.0,95.0,56.0,
3,78.0,118.0,73.0,
4,114.0,150.0,82.0,
5,77.0,102.0,59.0,
6,79.0,98.0,61.0,
7,86.0,110.0,71.0,
8,72.0,115.0,71.0,
9,77.0,92.0,71.0,
10,117.0,124.0,74.0,
11,92.0,107.0,70.0,
12,97.0,114.0,86.0,
13,110.0,121.0,68.0,
14,101.0,114.0,95.0,
15,67.0,78.0,62.0,
16,97.0,110.0,61.0,
17,87.0,118.0,69.0,
18,73.0,81.0,68.0,
19,81.0,94.0,72.0,
20,65.0,96.0,73.0,
21,94.0,101.0,98.0,
22,82.0,104.0,74.0,
23,88.0,106.0,58.0,
24,92.0,101.0,68.0,
25,95.0,123.0,68.0,
26,92.0,107.0,73.0,
27,87.0,103.0,64.0,
28,71.0,109.0,73.0,
29,92.0,101.0,65.0,
30,93.0,110.0,47.0,
31,78.0,88.0,64.0,
32,76.0,94.0,82.0,
33,73.0,101.0,78.0,
34,83.0,103.0,79.0,
35,97.0,112.0,86.0,
36,76.0,90.0,65.0,
37,90.0,105.0,74.0,
38,110.0,130.0,68.0,
39,76.0,128.0,81.0,
40,82.0,95.0,64.0,
41,95.0,122.0,86.0,
42,76.0,101.0,58.0,
43,64.0,80.0,57.0,
44,68.0,79.0,53.0,
45,70.0,83.0,67.0,
46,87.0,101.0,70.0,
47,89.0,91.0,63.0,
48,79.0,107.0,78.0,
49,81.0,100.0,79.0,
50,59.0,65.0,70.0,
51,81.0,89.0,65.0,
52,84.0,92.0,53.0,
53,101.0,121.0,82.0,
54,89.0,104.0,75.0,
55,78.0,108.0,72.0,
56,76.0,87.0,71.0,
57,65.0,86.0,63.0,
58,81.0,109.0,74.0,
59,82.0,98.0,57.0,
60,107.0,133.0,89.0,
61,98.0,116.0,72.0,
62,70.0,85.0,61.0,
63,96.0,104.0,81.0,
64,80.0,105.0,59.0,
65,77.0,108.0,80.0,
66,86.0,100.0,60.0,
67,74.0,108.0,53.0,
68,104.0,129.0,95.0,
69,91.0,124.0,77.0,
70,85.0,102.0,80.0,
71,96.0,101.0,85.0,
72,94.0,105.0,79.0,
73,105.0,109.0,69.0,
74,83.0,103.0,66.0,
75,95.0,110.0,72.0,
76,83.0,95.0,65.0,
77,87.0,91.0,68.0,
78,103.0,113.0,82.0,
79,89.0,115.0,78.0,
80,73.0,105.0,71.0,
81,92.0,99.0,72.0,
82,72.0,111.0,65.0,
83,74.0,97.0,54.0,
84,85.0,102.0,97.0,
85,79.0,71.0,66.0,
86,75.0,84.0,55.0,
87,68.0,100.0,64.0,
88,100.0,134.0,75.0,
89,89.0,112.0,75.0,
90,101.0,115.0,101.0,
91,107.0,121.0,68.0,
92,115.0,135.0,93.0,
93,99.0,122.0,81.0,
94,84.0,107.0,64.0,
95,95.0,139.0,85.0,
96,76.0,106.0,64.0,
97,81.0,87.0,65.0,
98,99.0,112.0,71.0,
99,82.0,81.0,63.0,
