,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,10.0,19.0,9.0,27.0
1,25.0,31.0,15.0,31.0
2,11.0,11.0,23.0,34.0
3,12.0,12.0,19.0,26.0
4,21.0,22.0,22.0,39.0
5,13.0,13.0,13.0,20.0
6,13.0,13.0,8.0,30.0
7,13.0,13.0,18.0,26.0
8,17.0,17.0,9.0,26.0
9,15.0,24.0,18.0,33.0
10,27.0,27.0,27.0,37.0
11,15.0,15.0,15.0,31.0
12,13.0,13.0,14.0,31.0
13,20.0,23.0,15.0,26.0
14,16.0,31.0,17.0,33.0
15,20.0,20.0,11.0,29.0
16,23.0,23.0,17.0,28.0
17,14.0,22.0,10.0,29.0
18,14.0,14.0,8.0,28.0
19,25.0,25.0,16.0,30.0
20,16.0,16.0,16.0,31.0
21,24.0,24.0,21.0,34.0
22,15.0,32.0,15.0,34.0
23,15.0,14.0,15.0,30.0
24,28.0,27.0,17.0,44.0
25,14.0,19.0,18.0,28.0
26,22.0,31.0,20.0,38.0
27,15.0,23.0,10.0,28.0
28,18.0,18.0,18.0,33.0
29,16.0,20.0,14.0,29.0
30,19.0,19.0,16.0,30.0
31,17.0,17.0,9.0,25.0
32,13.0,13.0,14.0,25.0
33,13.0,20.0,16.0,24.0
34,17.0,14.0,17.0,28.0
35,34.0,37.0,20.0,41.0
36,10.0,20.0,10.0,22.0
37,17.0,17.0,18.0,32.0
38,17.0,24.0,12.0,25.0
39,20.0,28.0,18.0,30.0
40,11.0,20.0,14.0,29.0
41,18.0,33.0,17.0,37.0
42,12.0,11.0,10.0,26.0
43,12.0,12.0,15.0,30.0
44,16.0,23.0,15.0,25.0
45,12.0,19.0,10.0,24.0
46,29.0,29.0,19.0,35.0
47,15.0,21.0,15.0,26.0
48,18.0,23.0,13.0,25.0
49,14.0,24.0,16.0,32.0
50,14.0,14.0,21.0,26.0
51,23.0,18.0,14.0,27.0
52,18.0,18.0,12.0,26.0
53,22.0,27.0,15.0,31.0
54,15.0,15.0,13.0,25.0
55,13.0,23.0,10.0,23.0
56,14.0,21.0,9.0,27.0
57,9.0,16.0,17.0,34.0
58,14.0,14.0,14.0,32.0
59,20.0,20.0,17.0,31.0
60,38.0,33.0,25.0,38.0
61,20.0,20.0,20.0,31.0
62,16.0,16.0,17.0,33.0
63,15.0,15.0,19.0,31.0
64,18.0,25.0,9.0,26.0
65,17.0,25.0,10.0,26.0
66,23.0,23.0,14.0,31.0
67,20.0,20.0,13.0,29.0
68,25.0,20.0,16.0,28.0
69,18.0,34.0,17.0,34.0
70,21.0,21.0,9.0,21.0
71,23.0,23.0,21.0,32.0
72,17.0,22.0,17.0,30.0
73,16.0,16.0,14.0,29.0
74,19.0,20.0,12.0,25.0
75,14.0,30.0,15.0,30.0
76,11.0,18.0,18.0,28.0
77,20.0,25.0,23.0,30.0
78,16.0,29.0,16.0,32.0
79,17.0,17.0,16.0,30.0
80,11.0,19.0,14.0,25.0
81,16.0,16.0,16.0,24.0
82,10.0,19.0,11.0,20.0
83,22.0,22.0,11.0,27.0
84,16.0,16.0,16.0,35.0
85,15.0,15.0,10.0,26.0
86,21.0,21.0,14.0,30.0
87,23.0,25.0,8.0,32.0
88,23.0,23.0,12.0,31.0
89,12.0,12.0,14.0,21.0
90,20.0,28.0,16.0,28.0
91,15.0,20.0,16.0,37.0
92,20.0,20.0,19.0,38.0
93,29.0,29.0,20.0,37.0
94,20.0,20.0,17.0,32.0
95,17.0,17.0,14.0,30.0
96,15.0,24.0,10.0,28.0
97,18.0,18.0,10.0,27.0
98,27.0,14.0,13.0,29.0
99,15.0,21.0,15.0,30.000000000000004
