,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,58.0,70.0,59.0,
1,64.0,71.0,51.0,
2,54.0,75.0,58.0,
3,59.0,69.0,74.0,
4,59.0,70.0,65.0,
5,76.0,71.0,73.0,
6,70.0,78.0,69.0,
7,68.0,81.0,68.0,
8,60.0,70.0,66.0,
9,55.0,55.0,49.0,
10,61.0,77.0,61.0,
11,66.0,78.0,83.0,
12,53.0,61.0,60.0,
13,63.0,77.0,58.0,
14,54.0,66.0,49.0,
15,63.0,66.0,67.0,
16,58.0,71.0,76.0,
17,75.0,64.0,68.0,
18,70.0,61.0,63.0,
19,85.0,88.0,75.0,
20,59.0,69.0,70.0,
21,75.0,78.0,63.0,
22,51.0,56.0,59.0,
23,70.0,86.0,79.0,
24,63.0,85.0,63.0,
25,54.0,65.0,59.0,
26,73.0,79.0,60.0,
27,62.0,67.0,51.0,
28,65.0,70.0,70.0,
29,63.0,70.0,60.0,
30,68.0,80.0,69.0,
31,82.0,79.0,75.0,
32,57.0,62.0,55.0,
33,65.0,65.0,60.0,
34,72.0,77.0,68.0,
35,76.0,85.0,73.0,
36,61.0,67.0,62.0,
37,77.0,81.0,75.0,
38,68.0,74.0,65.0,
39,71.0,74.0,73.0,
40,71.0,88.0,79.0,
41,73.0,80.0,68.0,
42,61.0,77.0,61.0,
43,69.0,74.0,58.0,
44,76.0,76.0,63.0,
45,59.0,76.0,60.0,
46,79.0,78.0,78.0,
47,69.0,74.0,73.0,
48,69.0,76.0,57.0,
49,68.0,85.0,72.0,
50,68.0,68.0,66.0,
51,62.0,62.0,57.0,
52,82.0,89.0,77.0,
53,63.0,72.0,61.0,
54,66.0,71.0,58.0,
55,57.0,72.0,52.0,
56,71.0,80.0,77.0,
57,78.0,72.0,59.0,
58,65.0,80.0,58.0,
59,78.0,69.0,66.0,
60,53.0,65.0,59.0,
61,56.0,65.0,50.0,
62,61.0,68.0,66.0,
63,74.0,69.0,61.0,
64,72.0,75.0,70.0,
65,51.0,69.0,58.0,
66,69.0,74.0,58.0,
67,74.0,74.0,53.0,
68,78.0,86.0,63.0,
69,78.0,93.0,68.0,
70,68.0,77.0,80.0,
71,54.0,54.0,54.0,
72,79.0,79.0,77.0,
73,49.0,56.0,49.0,
74,74.0,86.0,67.0,
75,68.0,73.0,58.0,
76,58.0,77.0,66.0,
77,72.0,72.0,66.0,
78,73.0,87.0,81.0,
79,50.0,60.0,62.0,
80,57.0,67.0,50.0,
81,61.0,61.0,61.0,
82,57.0,70.0,66.0,
83,59.0,68.0,63.0,
84,62.0,66.0,63.0,
85,86.0,86.0,87.0,
86,66.0,71.0,64.0,
87,52.0,65.0,51.0,
88,64.0,71.0,59.0,
89,66.0,72.0,60.0,
90,75.0,80.0,76.0,
91,61.0,64.0,56.0,
92,73.0,67.0,62.0,
93,54.0,66.0,61.0,
94,83.0,83.0,83.0,
95,67.0,73.0,57.0,
96,67.0,76.0,72.0,
97,81.0,87.0,67.0,
98,52.0,52.0,51.0,
99,66.0,64.0,59.0,
