,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,18.0,18.0,7.0,19.0
1,29.0,29.0,10.0,33.0
2,23.0,23.0,18.0,27.0
3,18.0,18.0,10.0,18.0
4,25.0,25.0,8.0,25.0
5,11.0,22.0,12.0,32.0
6,11.0,11.0,7.0,16.0
7,20.0,21.0,9.0,21.0
8,21.0,21.0,12.0,28.0
9,9.0,21.0,9.0,21.0
10,21.0,21.0,13.0,31.0
11,14.0,14.0,9.0,23.0
12,10.0,10.0,11.0,23.0
13,14.0,14.0,14.0,22.0
14,14.0,14.0,22.0,22.0
15,25.0,25.0,16.0,31.0
16,12.0,12.0,8.0,19.0
17,21.0,21.0,9.0,23.0
18,16.0,16.0,9.0,22.0
19,21.0,21.0,16.0,37.0
20,19.0,15.0,10.0,29.0
21,14.0,23.0,10.0,24.0
22,17.0,22.0,16.0,23.0
23,8.0,8.0,11.0,14.0
24,11.0,11.0,14.0,20.0
25,17.0,17.0,9.0,26.0
26,16.0,23.0,13.0,23.0
27,15.0,15.0,10.0,25.0
28,11.0,11.0,8.0,19.0
29,13.0,13.0,10.0,24.0
30,18.0,20.0,16.0,32.0
31,17.0,17.0,9.0,24.0
32,22.0,29.0,14.0,31.0
33,19.0,20.0,10.0,24.0
34,23.0,29.0,28.0,44.0
35,24.0,24.0,24.0,34.0
36,16.0,16.0,8.0,23.0
37,18.0,15.0,10.0,24.0
38,18.0,22.0,10.0,25.0
39,12.0,18.0,7.0,19.0
40,20.0,20.0,10.0,28.0
41,14.0,20.0,15.0,23.0
42,14.0,14.0,9.0,23.0
43,9.0,16.0,9.0,16.0
44,14.0,21.0,10.0,24.0
45,16.0,16.0,16.0,17.0
46,14.0,14.0,9.0,21.0
47,11.0,19.0,9.0,25.0
48,21.0,20.0,12.0,26.0
49,21.0,21.0,11.0,22.0
50,13.0,11.0,8.0,19.0
51,10.0,21.0,10.0,21.0
52,17.0,10.0,13.0,22.0
53,14.0,11.0,8.0,22.0
54,16.0,15.0,25.0,32.0
55,16.0,24.0,9.0,25.0
56,21.0,26.0,14.0,33.0
57,25.0,25.0,19.0,32.0
58,18.0,18.0,9.0,18.0
59,10.0,18.0,10.0,24.0
60,15.0,15.0,11.0,16.0
61,13.0,13.0,13.0,20.0
62,18.0,20.0,16.0,25.0
63,16.0,25.0,17.0,32.0
64,10.0,18.0,10.0,26.0
65,16.0,16.0,10.0,27.0
66,18.0,18.0,10.0,27.0
67,14.0,15.0,9.0,21.0
68,16.0,16.0,10.0,26.0
69,18.0,19.0,9.0,27.0
70,20.0,20.0,10.0,30.0
71,20.0,20.0,9.0,24.0
72,8.0,14.0,8.0,14.0
73,17.0,23.0,9.0,23.999999999999993
74,10.0,10.0,10.0,17.0
75,19.0,19.0,10.0,24.0
76,17.0,18.0,10.0,26.0
77,15.0,26.0,15.0,27.0
78,14.0,14.0,10.0,29.0
79,17.0,24.0,14.0,25.0
80,16.0,22.0,9.0,23.0
81,21.0,27.0,12.0,29.0
82,11.0,16.0,15.0,35.0
83,16.0,16.0,14.0,27.0
84,14.0,20.0,7.0,20.0
85,16.0,16.0,15.0,21.0
86,11.0,11.0,5.0,11.0
87,15.0,15.0,10.0,28.0
88,14.0,14.0,8.0,26.0
89,11.0,12.0,11.0,19.0
90,12.0,18.0,5.0,23.0
91,9.0,26.0,9.0,26.0
92,13.0,13.0,12.0,25.0
93,13.0,18.0,13.0,18.0
94,17.0,17.0,13.0,24.0
95,21.0,21.0,10.0,21.000000000000007
96,22.0,22.0,13.0,24.0
97,13.0,18.0,13.0,19.0
98,9.0,17.0,9.0,24.0
99,14.0,14.0,10.0,25.0
