,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,46.0,73.0,32.0,
1,62.0,74.0,43.0,
2,79.0,94.0,54.0,
3,39.0,57.0,38.0,
4,54.0,59.0,40.0,
5,48.0,58.0,36.0,
6,48.0,65.0,46.0,
7,55.0,61.0,35.0,
8,57.0,65.0,43.0,
9,49.0,75.0,35.0,
10,54.0,65.0,36.0,
11,40.0,60.0,45.0,
12,65.0,75.0,36.0,
13,44.0,53.0,38.0,
14,38.0,55.0,50.0,
15,73.0,75.0,57.0,
16,56.0,73.0,36.0,
17,50.0,57.0,35.0,
18,58.0,64.0,31.0,
19,58.0,80.0,48.0,
20,64.0,91.0,43.0,
21,45.0,55.0,35.0,
22,58.0,75.0,47.0,
23,39.0,52.0,27.0,
24,45.0,51.0,43.0,
25,53.0,62.0,45.0,
26,62.0,71.0,37.0,
27,68.0,75.0,35.0,
28,47.0,65.0,31.0,
29,54.0,56.0,41.0,
30,71.0,93.0,59.0,
31,52.0,65.0,31.0,
32,58.0,82.0,42.0,
33,55.0,78.0,53.0,
34,54.0,76.0,59.0,
35,57.0,76.0,35.0,
36,48.0,71.0,32.0,
37,57.0,74.0,38.0,
38,61.0,60.0,39.0,
39,44.0,44.0,30.0,
40,66.0,95.0,50.0,
41,54.0,60.0,40.0,
42,49.0,77.0,36.0,
43,57.0,51.0,31.0,
44,46.0,72.0,38.0,
45,46.0,51.0,26.0,
46,57.0,59.0,39.0,
47,40.0,57.0,39.0,
48,50.0,68.0,47.0,
49,58.0,73.0,37.0,
50,68.0,61.0,44.0,
51,48.0,57.0,35.0,
52,45.0,53.0,34.0,
53,62.0,63.0,39.0,
54,42.0,64.0,27.0,
55,53.0,76.0,46.0,
56,62.0,77.0,40.0,
57,65.0,76.0,51.0,
58,57.0,68.0,49.0,
59,65.0,68.0,44.0,
60,63.0,57.0,40.0,
61,62.0,72.0,35.0,
62,48.0,56.0,40.0,
63,67.0,76.0,46.0,
64,46.0,64.0,41.0,
65,43.0,53.0,40.0,
66,66.0,78.0,53.0,
67,55.0,48.0,34.0,
68,54.0,68.0,46.0,
69,55.0,69.0,38.0,
70,62.0,77.0,42.0,
71,48.0,65.0,40.0,
72,41.0,60.0,28.0,
73,50.0,75.0,39.0,
74,74.0,74.0,53.0,
75,43.0,64.0,33.0,
76,53.0,55.0,41.0,
77,70.0,76.0,30.0,
78,43.0,51.0,44.0,
79,42.0,62.0,32.0,
80,55.0,67.0,40.0,
81,73.0,75.0,47.0,
82,67.0,68.0,40.0,
83,54.0,61.0,37.0,
84,51.0,75.0,44.0,
85,60.0,58.0,44.0,
86,48.0,50.0,25.0,
87,56.0,76.0,45.0,
88,52.0,69.0,36.0,
89,58.0,63.0,32.0,
90,51.0,64.0,39.0,
91,55.0,77.0,33.0,
92,56.0,85.0,47.0,
93,39.0,44.0,24.0,
94,42.0,55.0,39.0,
95,55.0,57.0,33.0,
96,53.0,66.0,33.0,
97,48.0,65.0,39.0,
98,52.0,69.0,35.0,
99,48.0,55.0,30.0,
