,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,29.0,34.0,29.0,39.0
1,35.0,36.0,25.0,41.0
2,27.0,40.0,35.0,58.0
3,25.0,37.0,24.0,40.0
4,43.0,48.0,34.0,56.0
5,26.0,31.0,25.0,37.0
6,37.0,37.0,35.0,49.0
7,23.0,33.0,31.0,44.0
8,32.0,42.0,27.0,42.0
9,32.0,27.0,22.0,38.0
10,30.0,30.0,30.0,46.0
11,33.0,43.0,29.0,55.0
12,29.0,35.0,29.0,46.0
13,26.0,32.0,31.0,40.0
14,17.0,30.0,19.0,36.0
15,39.0,39.0,30.0,49.0
16,39.0,39.0,32.0,39.0
17,38.0,38.0,25.0,51.0
18,33.0,42.0,34.0,49.0
19,34.0,39.0,34.0,50.0
20,22.0,35.0,22.0,40.0
21,32.0,38.0,40.0,54.0
22,38.0,38.0,38.0,57.0
23,21.0,36.0,20.0,40.0
24,41.0,48.0,43.0,65.0
25,22.0,25.0,24.0,38.0
26,38.0,40.0,35.0,64.0
27,30.0,39.0,26.0,45.0
28,36.0,48.0,41.0,54.0
29,34.0,40.0,34.0,49.0
30,26.0,26.0,26.0,40.0
31,24.0,36.0,31.0,45.0
32,32.0,32.0,29.0,43.0
33,26.0,31.0,32.0,46.0
34,24.0,30.0,28.0,36.00000000000593
35,33.0,49.0,38.0,57.0
36,25.0,40.0,26.0,45.0
37,46.0,42.0,38.0,55.0
38,31.0,31.0,27.0,38.0
39,33.0,29.0,29.0,43.0
40,35.0,41.0,23.0,47.00000000000001
41,35.0,45.0,30.0,58.0
42,33.0,33.0,23.0,39.0
43,23.0,30.0,33.0,49.000000000000014
44,24.0,29.0,24.0,34.0
45,24.0,38.0,40.0,48.0
46,33.0,38.0,38.0,47.0
47,24.0,31.0,24.0,36.0
48,31.0,36.0,23.0,46.0
49,30.0,38.0,30.0,50.0
50,18.0,36.0,25.0,38.0
51,27.0,27.0,27.0,34.0
52,20.0,25.0,21.0,33.0
53,30.0,30.0,30.0,42.0
54,25.0,31.0,25.0,36.0
55,32.0,41.0,21.0,42.0
56,30.0,41.0,30.0,46.0
57,32.0,32.0,42.0,49.0
58,26.0,36.0,26.0,42.0
59,28.0,28.0,33.0,43.0
60,36.0,41.0,46.0,59.0
61,40.0,40.0,40.0,53.0
62,30.0,41.0,27.0,48.0
63,31.0,41.0,24.0,48.0
64,30.0,35.0,32.0,49.0
65,30.0,38.0,25.0,44.0
66,29.0,30.0,29.0,47.0
67,30.0,46.0,30.0,52.0
68,34.0,39.0,34.0,52.0
69,35.0,46.0,38.0,55.0
70,26.0,35.0,36.0,41.0
71,25.0,31.0,26.0,44.0
72,28.0,28.0,35.0,51.00000000000001
73,24.0,39.0,37.0,51.0
74,25.0,34.0,27.0,46.0
75,32.0,33.0,36.0,48.0
76,21.0,28.0,34.0,46.0
77,30.0,36.0,30.0,41.0
78,30.0,35.0,29.0,54.0
79,38.0,38.0,25.0,49.0
80,21.0,26.0,21.0,40.0
81,29.0,29.0,34.0,38.0
82,28.0,38.0,31.0,45.0
83,20.0,25.0,22.0,29.999999999987466
84,35.0,34.0,32.0,53.0
85,29.0,41.0,29.0,46.0
86,38.0,33.0,30.0,42.0
87,29.0,29.0,29.0,43.0
88,34.0,44.0,36.0,54.0
89,18.0,28.0,23.0,29.0
90,29.0,40.0,34.0,53.0
91,35.0,40.0,40.0,52.0
92,44.0,44.0,34.0,60.0
93,41.0,41.0,33.0,54.0
94,29.0,35.0,33.0,48.0
95,25.0,36.0,26.0,42.0
96,28.0,33.0,23.0,34.00000015854767
97,22.0,33.0,22.0,40.00000000000003
98,26.0,42.0,29.0,49.00000000000543
99,32.0,36.0,27.0,52.0
