,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,17.0,18.0,15.0,
1,35.0,35.0,28.0,
2,16.0,16.0,18.0,
3,11.0,21.0,24.0,
4,48.0,43.0,28.0,
5,25.0,33.0,18.0,
6,25.0,34.0,17.0,
7,31.0,41.0,15.0,
8,29.0,29.0,15.0,
9,16.0,22.0,28.0,
10,42.0,42.0,17.0,
11,16.0,32.0,16.0,
12,23.0,31.0,24.0,
13,45.0,38.0,25.0,
14,19.0,35.0,24.0,
15,17.0,25.0,20.0,
16,27.0,30.0,10.0,
17,25.0,37.0,19.0,
18,15.0,15.0,13.0,
19,28.0,28.0,15.0,
20,30.0,39.0,22.0,
21,23.0,38.0,23.0,
22,33.0,37.0,21.0,
23,19.0,29.0,16.0,
24,27.0,27.0,17.0,
25,21.0,27.0,26.0,
26,23.0,32.0,20.0,
27,21.0,31.0,21.0,
28,19.0,25.0,28.0,
29,22.0,27.0,24.0,
30,33.0,33.0,11.0,
31,21.0,33.0,16.0,
32,15.0,15.0,20.0,
33,20.0,33.0,16.0,
34,27.0,27.0,17.0,
35,35.0,41.0,28.0,
36,12.0,26.0,20.0,
37,24.0,34.0,14.0,
38,28.0,36.0,20.0,
39,20.0,30.0,18.0,
40,25.0,27.0,15.0,
41,34.0,34.0,16.0,
42,14.0,14.0,17.0,
43,12.0,12.0,15.0,
44,22.0,27.0,17.0,
45,19.0,27.0,17.0,
46,29.0,29.0,19.0,
47,23.0,23.0,20.0,
48,24.0,26.0,16.0,
49,23.0,24.0,20.0,
50,26.0,22.0,27.0,
51,23.0,20.0,20.0,
52,21.0,26.0,18.0,
53,22.0,32.0,18.0,
54,19.0,28.0,19.0,
55,27.0,27.0,19.0,
56,18.0,22.0,10.0,
57,16.0,31.0,19.0,
58,25.0,36.0,22.0,
59,26.0,36.0,16.0,
60,20.0,27.0,21.0,
61,30.0,35.0,15.0,
62,21.0,21.0,17.0,
63,24.0,21.0,18.0,
64,23.0,38.0,15.0,
65,20.0,30.0,18.0,
66,23.0,23.0,8.0,
67,28.0,36.0,16.0,
68,41.0,41.0,19.0,
69,31.0,36.0,17.0,
70,17.0,23.0,16.0,
71,27.0,39.0,18.0,
72,17.0,25.0,20.0,
73,31.0,38.0,25.0,
74,22.0,28.0,16.0,
75,36.0,35.0,17.0,
76,18.0,18.0,17.0,
77,37.0,37.0,20.0,
78,22.0,28.0,23.0,
79,24.0,28.0,17.0,
80,23.0,29.0,17.0,
81,14.0,20.0,16.0,
82,17.0,27.0,21.0,
83,23.0,28.0,13.0,
84,29.0,34.0,24.0,
85,17.0,25.0,12.0,
86,23.0,23.0,17.0,
87,24.0,28.0,22.0,
88,34.0,33.0,16.0,
89,29.0,36.0,22.0,
90,41.0,39.0,18.0,
91,26.0,39.0,19.0,
92,34.0,39.0,20.0,
93,40.0,48.0,20.0,
94,28.0,32.0,20.0,
95,21.0,31.0,16.0,
96,35.0,42.0,18.0,
97,30.0,30.0,16.0,
98,17.0,22.0,16.0,
99,23.0,30.0,12.0,
