,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,28.0,28.0,28.0,33.0
1,25.0,31.0,25.0,31.0
2,24.0,32.0,26.0,38.0
3,23.0,29.0,21.0,29.00000000003534
4,20.0,25.0,20.0,30.000000000000004
5,19.0,19.0,13.0,19.0
6,27.0,27.0,30.0,30.0
7,24.0,30.0,16.0,30.0
8,28.0,28.0,28.0,28.0
9,17.0,17.0,16.0,22.0
10,15.0,24.0,15.0,24.0
11,24.0,24.0,26.0,35.0
12,21.0,26.0,26.0,26.0
13,21.0,21.0,31.0,34.000000000005755
14,12.0,17.0,17.0,28.00000000003503
15,29.0,29.0,19.0,34.00000115096332
16,14.0,14.0,22.0,22.000000902628074
17,19.0,19.0,24.0,29.0
18,29.0,34.0,25.0,34.0
19,23.0,24.0,23.0,29.0
20,27.0,27.0,27.0,35.0
21,28.0,34.0,26.0,34.0
22,34.0,34.0,28.0,34.000000000001044
23,15.0,19.0,19.0,25.0
24,29.0,29.0,32.0,37.0
25,17.0,25.0,17.0,25.0
26,32.0,41.0,32.0,41.0
27,32.0,32.0,26.0,32.0
28,23.0,29.0,23.0,34.0
29,20.0,20.0,20.0,29.0
30,17.0,17.0,24.0,24.0
31,23.0,28.0,21.0,28.0
32,21.0,21.0,27.0,31.000000000686146
33,19.0,19.0,19.0,26.0
34,11.0,20.0,15.0,21.000000304579096
35,36.0,36.0,22.0,36.0
36,27.0,27.0,27.0,35.0
37,23.0,31.0,31.0,38.0
38,19.0,24.0,14.0,24.0
39,26.0,26.0,18.0,26.0
40,20.0,20.0,22.0,28.0
41,24.0,39.0,24.0,39.0
42,15.0,15.0,15.0,15.0
43,23.0,30.0,23.0,36.0
44,24.0,24.0,24.0,24.0
45,17.0,31.0,31.0,31.0
46,28.0,28.0,23.0,33.0
47,12.0,12.0,12.0,20.0
48,28.0,28.0,23.0,29.0
49,26.0,26.0,18.0,31.0
50,12.0,19.0,12.0,19.0
51,15.0,15.0,21.0,22.0
52,16.0,16.0,11.0,22.000000476438846
53,16.0,16.0,17.0,24.0
54,22.0,23.0,22.0,28.0
55,26.0,31.0,26.0,37.0
56,22.0,28.0,22.0,28.0
57,14.0,14.0,14.0,14.0
58,19.0,24.0,19.0,24.0
59,29.0,29.0,29.0,29.0
60,35.0,35.0,28.0,35.0
61,17.0,17.0,17.0,24.0
62,21.0,26.0,26.0,26.0
63,26.0,31.0,17.0,38.0
64,27.0,28.0,21.0,33.0
65,22.0,22.0,22.0,27.000000304908117
66,29.0,29.0,29.0,36.0
67,20.0,26.0,18.0,32.0
68,23.0,23.0,23.0,29.0
69,21.0,26.0,22.0,32.0
70,21.0,21.0,21.0,21.0
71,22.0,27.0,22.0,27.0
72,24.0,34.0,29.0,34.0
73,22.0,32.0,27.0,32.0
74,22.0,22.0,24.0,37.00000005030654
75,23.0,32.0,23.0,33.0
76,20.0,20.0,20.0,28.0
77,21.0,21.0,16.0,21.0
78,20.0,25.0,25.0,30.0
79,21.0,21.0,25.0,31.0
80,15.0,20.0,20.0,25.0
81,23.0,23.0,23.0,27.0
82,21.0,26.0,16.0,28.0
83,20.0,20.0,20.0,26.000000000000004
84,22.0,27.0,27.0,32.0
85,29.0,29.0,24.0,34.0
86,30.0,28.0,28.0,35.0
87,27.0,27.0,27.0,27.0
88,29.0,29.0,21.0,29.0
89,15.0,20.0,20.0,20.0
90,21.0,31.0,25.0,32.0
91,30.0,30.0,30.0,36.0
92,34.0,34.0,34.0,34.0
93,23.0,23.0,18.0,36.0
94,18.0,23.0,18.0,29.0
95,18.0,23.0,23.0,23.0
96,16.0,21.0,16.0,21.0
97,21.0,26.0,26.0,26.0
98,27.0,27.0,27.0,33.0
99,30.0,35.0,26.0,35.0
